Gene_ID,Num.Enhancers
ENSG00000000003,2
ENSG00000000005,2
ENSG00000000419,29
ENSG00000000457,11
ENSG00000000460,13
ENSG00000000938,26
ENSG00000000971,4
ENSG00000001036,5
ENSG00000001084,20
ENSG00000001167,16
ENSG00000001460,35
ENSG00000001461,24
ENSG00000001497,10
ENSG00000001561,9
ENSG00000001617,10
ENSG00000001626,10
ENSG00000001629,7
ENSG00000001630,9
ENSG00000001631,6
ENSG00000002016,15
ENSG00000002079,4
ENSG00000002330,13
ENSG00000002549,6
ENSG00000002586,18
ENSG00000002587,7
ENSG00000002726,11
ENSG00000002745,3
ENSG00000002746,8
ENSG00000002822,52
ENSG00000002834,18
ENSG00000002919,21
ENSG00000002933,18
ENSG00000003056,17
ENSG00000003096,4
ENSG00000003137,6
ENSG00000003147,6
ENSG00000003249,7
ENSG00000003393,8
ENSG00000003400,27
ENSG00000003402,37
ENSG00000003436,12
ENSG00000003509,14
ENSG00000003756,13
ENSG00000003987,30
ENSG00000003989,15
ENSG00000004059,1
ENSG00000004139,10
ENSG00000004142,7
ENSG00000004399,19
ENSG00000004455,28
ENSG00000004468,7
ENSG00000004478,3
ENSG00000004487,4
ENSG00000004534,4
ENSG00000004660,29
ENSG00000004700,1
ENSG00000004766,4
ENSG00000004776,13
ENSG00000004777,9
ENSG00000004779,5
ENSG00000004799,5
ENSG00000004809,10
ENSG00000004838,18
ENSG00000004846,10
ENSG00000004848,6
ENSG00000004864,2
ENSG00000004866,18
ENSG00000004897,8
ENSG00000004939,1
ENSG00000004948,2
ENSG00000004961,1
ENSG00000004975,17
ENSG00000005001,13
ENSG00000005007,13
ENSG00000005020,10
ENSG00000005022,13
ENSG00000005059,1
ENSG00000005073,5
ENSG00000005075,9
ENSG00000005100,9
ENSG00000005102,11
ENSG00000005108,1
ENSG00000005156,12
ENSG00000005175,19
ENSG00000005187,16
ENSG00000005189,13
ENSG00000005194,33
ENSG00000005206,35
ENSG00000005238,15
ENSG00000005243,6
ENSG00000005249,16
ENSG00000005302,5
ENSG00000005339,13
ENSG00000005379,5
ENSG00000005381,4
ENSG00000005421,1
ENSG00000005436,5
ENSG00000005448,7
ENSG00000005469,4
ENSG00000005471,3
ENSG00000005483,23
