Num.Enhancers,Gene_ID
1,ENSG00000000003
39,ENSG00000000419
4,ENSG00000000457
9,ENSG00000000938
14,ENSG00000001036
26,ENSG00000001084
5,ENSG00000001167
28,ENSG00000001460
32,ENSG00000001461
7,ENSG00000001497
23,ENSG00000001617
4,ENSG00000001629
5,ENSG00000001630
3,ENSG00000001631
22,ENSG00000002016
27,ENSG00000002079
46,ENSG00000002330
3,ENSG00000002549
1,ENSG00000002586
1,ENSG00000002587
2,ENSG00000002745
11,ENSG00000002822
10,ENSG00000002834
17,ENSG00000002919
10,ENSG00000003056
2,ENSG00000003249
1,ENSG00000003393
15,ENSG00000003400
15,ENSG00000003402
14,ENSG00000003509
24,ENSG00000003756
2,ENSG00000003987
5,ENSG00000004059
11,ENSG00000004139
21,ENSG00000004142
7,ENSG00000004399
24,ENSG00000004455
1,ENSG00000004468
7,ENSG00000004478
4,ENSG00000004487
25,ENSG00000004534
3,ENSG00000004700
6,ENSG00000004766
4,ENSG00000004776
1,ENSG00000004777
32,ENSG00000004779
10,ENSG00000004838
7,ENSG00000004864
52,ENSG00000004866
3,ENSG00000004897
1,ENSG00000004961
25,ENSG00000004975
24,ENSG00000005001
1,ENSG00000005007
7,ENSG00000005020
6,ENSG00000005022
14,ENSG00000005059
1,ENSG00000005075
8,ENSG00000005100
3,ENSG00000005102
1,ENSG00000005156
6,ENSG00000005175
4,ENSG00000005189
18,ENSG00000005194
22,ENSG00000005206
9,ENSG00000005238
6,ENSG00000005243
1,ENSG00000005339
1,ENSG00000005379
6,ENSG00000005436
54,ENSG00000005448
3,ENSG00000005469
16,ENSG00000005483
19,ENSG00000005486
9,ENSG00000005513
4,ENSG00000005700
2,ENSG00000005801
6,ENSG00000005810
8,ENSG00000005812
8,ENSG00000005844
29,ENSG00000005882
52,ENSG00000005884
4,ENSG00000005893
5,ENSG00000005955
1,ENSG00000005961
6,ENSG00000006007
9,ENSG00000006015
5,ENSG00000006016
12,ENSG00000006025
5,ENSG00000006042
29,ENSG00000006047
20,ENSG00000006059
3,ENSG00000006062
10,ENSG00000006114
6,ENSG00000006118
8,ENSG00000006125
2,ENSG00000006194
6,ENSG00000006210
42,ENSG00000006282
23,ENSG00000006283
27,ENSG00000006327
1,ENSG00000006377
11,ENSG00000006432
14,ENSG00000006451
20,ENSG00000006453
2,ENSG00000006459
1,ENSG00000006468
4,ENSG00000006530
7,ENSG00000006555
19,ENSG00000006576
11,ENSG00000006607
15,ENSG00000006625
4,ENSG00000006638
7,ENSG00000006652
2,ENSG00000006695
22,ENSG00000006704
9,ENSG00000006712
3,ENSG00000006715
1,ENSG00000006740
1,ENSG00000006744
1,ENSG00000006756
11,ENSG00000006831
5,ENSG00000006837
22,ENSG00000007038
18,ENSG00000007047
3,ENSG00000007062
5,ENSG00000007080
1,ENSG00000007129
28,ENSG00000007168
20,ENSG00000007202
12,ENSG00000007255
41,ENSG00000007341
2,ENSG00000007372
23,ENSG00000007376
8,ENSG00000007384
6,ENSG00000007392
4,ENSG00000007516
16,ENSG00000007520
26,ENSG00000007541
14,ENSG00000007545
35,ENSG00000007866
19,ENSG00000007923
2,ENSG00000007944
2,ENSG00000007968
7,ENSG00000008083
1,ENSG00000008086
32,ENSG00000008118
11,ENSG00000008128
15,ENSG00000008130
1,ENSG00000008196
6,ENSG00000008226
25,ENSG00000008256
13,ENSG00000008282
4,ENSG00000008283
14,ENSG00000008294
15,ENSG00000008300
5,ENSG00000008311
27,ENSG00000008323
30,ENSG00000008324
2,ENSG00000008382
2,ENSG00000008394
7,ENSG00000008405
9,ENSG00000008438
22,ENSG00000008441
15,ENSG00000008513
4,ENSG00000008516
4,ENSG00000008517
30,ENSG00000008710
2,ENSG00000008735
22,ENSG00000008838
17,ENSG00000008853
11,ENSG00000008869
9,ENSG00000008952
8,ENSG00000008988
10,ENSG00000009307
8,ENSG00000009335
5,ENSG00000009413
24,ENSG00000009724
8,ENSG00000009765
32,ENSG00000009780
41,ENSG00000009790
2,ENSG00000009830
15,ENSG00000009844
3,ENSG00000009950
5,ENSG00000009954
14,ENSG00000010017
4,ENSG00000010030
10,ENSG00000010072
15,ENSG00000010165
1,ENSG00000010219
14,ENSG00000010244
39,ENSG00000010256
36,ENSG00000010278
32,ENSG00000010292
23,ENSG00000010295
13,ENSG00000010310
13,ENSG00000010318
1,ENSG00000010319
9,ENSG00000010322
8,ENSG00000010361
2,ENSG00000010404
11,ENSG00000010438
2,ENSG00000010539
20,ENSG00000010626
