hgnc,ensg
HGNC:17326,ENSG00000171201
HGNC:4747,ENSG00000158373
HGNC:4757,ENSG00000180596
HGNC:9199,ENSG00000177700
HGNC:16614,ENSG00000186207
HGNC:5414,ENSG00000142089
HGNC:4749,ENSG00000233822
HGNC:4761,ENSG00000124635
HGNC:14492,ENSG00000182154
HGNC:4735,ENSG00000233224
HGNC:4738,ENSG00000184260
HGNC:14488,ENSG00000130312
HGNC:21083,ENSG00000169976
HGNC:19949,ENSG00000172336
HGNC:22420,ENSG00000157778
HGNC:4730,ENSG00000198374
HGNC:33830,ENSG00000204899
HGNC:18277,ENSG00000132432
HGNC:16185,ENSG00000125995
HGNC:4726,ENSG00000184348
HGNC:10346,ENSG00000165502
HGNC:20045,ENSG00000142252
HGNC:17397,ENSG00000175334
HGNC:11817,ENSG00000126953
HGNC:14189,ENSG00000204482
HGNC:17839,ENSG00000176386
HGNC:26937,ENSG00000170855
HGNC:10377,ENSG00000177600
HGNC:13631,ENSG00000130255
HGNC:14046,ENSG00000187145
HGNC:11816,ENSG00000099800
HGNC:14497,ENSG00000177971
HGNC:10419,ENSG00000213741
HGNC:11814,ENSG00000134809
HGNC:27717,ENSG00000154813
HGNC:15484,ENSG00000174446
HGNC:1164,ENSG00000134825
HGNC:16832,ENSG00000128524
HGNC:855,ENSG00000185883
HGNC:855,ENSG00000185883
HGNC:2664,ENSG00000129562
HGNC:11617,ENSG00000154582
HGNC:15593,ENSG00000008324
HGNC:7819,ENSG00000100138
HGNC:9285,ENSG00000204619
HGNC:13736,ENSG00000198258
HGNC:11619,ENSG00000103363
HGNC:10372,ENSG00000137818
HGNC:10845,ENSG00000127922
HGNC:10330,ENSG00000108107
HGNC:14378,ENSG00000182117
HGNC:864,ENSG00000136888
HGNC:848,ENSG00000241468
HGNC:14121,ENSG00000161980
HGNC:21488,ENSG00000203760
HGNC:25487,ENSG00000141026
HGNC:11304,ENSG00000143742
HGNC:11162,ENSG00000139343
HGNC:5004,ENSG00000029993
HGNC:11158,ENSG00000167088
HGNC:10336,ENSG00000144713
HGNC:10359,ENSG00000241343
HGNC:25455,ENSG00000158526
HGNC:11159,ENSG00000125743
HGNC:10389,ENSG00000134419
HGNC:5269,ENSG00000115541
HGNC:24261,ENSG00000166595
HGNC:30551,ENSG00000141759
HGNC:4647,ENSG00000140307
HGNC:17162,ENSG00000106355
HGNC:26212,ENSG00000129128
HGNC:26041,ENSG00000140830
HGNC:26940,ENSG00000173113
HGNC:10349,ENSG00000172809
HGNC:10409,ENSG00000171858
HGNC:10783,ENSG00000161547
HGNC:3249,ENSG00000173812
HGNC:5010,ENSG00000137309
HGNC:24967,ENSG00000167842
HGNC:10388,ENSG00000115268
HGNC:10291,ENSG00000106399
HGNC:32687,ENSG00000161920
HGNC:10348,ENSG00000197756
HGNC:12488,ENSG00000185651
HGNC:16197,ENSG00000172315
HGNC:11579,ENSG00000171530
HGNC:15468,ENSG00000125971
HGNC:10333,ENSG00000156482
HGNC:33721,ENSG00000189366
HGNC:7732,ENSG00000129559
HGNC:10334,ENSG00000071082
HGNC:10328,ENSG00000131469
HGNC:3597,ENSG00000149806
HGNC:26168,ENSG00000125449
HGNC:18418,ENSG00000242028
HGNC:10410,ENSG00000186468
HGNC:11179,ENSG00000142168
HGNC:10413,ENSG00000118181
HGNC:10347,ENSG00000145592
HGNC:10344,ENSG00000136942
