Gene_Symbol	Ensembl_Gene_ID
AAGAB	ENSG00000103591	
ABCD1	ENSG00000101986	
ACSL4	ENSG00000068366	
ACVRL1	ENSG00000139567	
ADNP	ENSG00000101126	
AFF2	ENSG00000155966	
AHDC1	ENSG00000126705	
ALX4	ENSG00000052850	
ANK2	ENSG00000145362	
ANKRD11	ENSG00000167522	
ANOS1	ENSG00000011201	
AP1S2	ENSG00000182287	
APC	ENSG00000134982	
AR	ENSG00000169083	
ARID1A	ENSG00000117713	
ARID1B	ENSG00000049618	
ARSE	ENSG00000157399	
ASH1L	ENSG00000116539	
ASXL1	ENSG00000171456	
ASXL3	ENSG00000141431	
ATP7A	ENSG00000165240	
ATRX	ENSG00000085224	
AUTS2	ENSG00000158321	
AVPR2	ENSG00000126895	
BAG3	ENSG00000151929	
BCL11A	ENSG00000119866	
BCOR	ENSG00000183337	
BMPR1A	ENSG00000107779	
BMPR2	ENSG00000204217	
BRCA1	ENSG00000012048	
BRCA2	ENSG00000139618	
BTK	ENSG00000010671	
CACNA1A	ENSG00000141837	
CAMTA1	ENSG00000171735	
CASK	ENSG00000147044	
CDKL5	ENSG00000008086	
CDKN1C	ENSG00000129757	
CHD2	ENSG00000173575	
CHD7	ENSG00000171316	
CHD8	ENSG00000100888	
CHM	ENSG00000188419	
CHRDL1	ENSG00000101938	
CIC	ENSG00000079432	
CLCN5	ENSG00000171365	
CNKSR2	ENSG00000149970	
COL1A1	ENSG00000108821	
COL2A1	ENSG00000139219	
COL3A1	ENSG00000168542	
COL4A5	ENSG00000188153	
COL5A1	ENSG00000130635	
CREBBP	ENSG00000005339	
CTNNB1	ENSG00000168036	
CUL4B	ENSG00000158290	
CYBB	ENSG00000165168	
DCX	ENSG00000077279	
DDX3X	ENSG00000215301	
DICER1	ENSG00000100697	
DMD	ENSG00000198947	
DPP6	ENSG00000130226	
DSCAM	ENSG00000171587	
DYRK1A	ENSG00000157540	
EDA	ENSG00000158813	
EDNRB	ENSG00000136160	
EFNB1	ENSG00000090776	
EFTUD2	ENSG00000108883	
EHMT1	ENSG00000181090	
ENG	ENSG00000106991	
EP300	ENSG00000100393	
EXT1	ENSG00000182197	
EXT2	ENSG00000151348	
EYA1	ENSG00000104313	
EYA4	ENSG00000112319	
F8	ENSG00000185010	
F9	ENSG00000101981	
FANCB	ENSG00000181544	
FASN	ENSG00000169710	
FBN1	ENSG00000166147	
FGD1	ENSG00000102302	
FGF10	ENSG00000070193	
FGFR1	ENSG00000077782	
FLCN	ENSG00000154803	
FLG	ENSG00000143631	
FLNA	ENSG00000196924	
FMR1	ENSG00000102081	
FOXC1	ENSG00000054598	
FOXC2	ENSG00000176692	
FOXF1	ENSG00000103241	
FOXG1	ENSG00000176165	
FOXL2	ENSG00000183770	
FOXP1	ENSG00000114861	
FRMD7	ENSG00000165694	
FTSJ1	ENSG00000068438	
FZD4	ENSG00000174804	
FZR1	ENSG00000105325	
GATA2	ENSG00000179348	
GATA3	ENSG00000107485	
GATA4	ENSG00000136574	
GATA6	ENSG00000141448	
GATAD2B	ENSG00000143614	
GCH1	ENSG00000131979	
GDF5	ENSG00000125965	
GK	ENSG00000198814	
GLI2	ENSG00000074047	
GLI3	ENSG00000106571	
GLMN	ENSG00000174842	
GNAS	ENSG00000087460	
GPC3	ENSG00000147257	
GRIN2B	ENSG00000273079	
HCCS	ENSG00000004961	
HDAC8	ENSG00000147099	
HIVEP2	ENSG00000010818	
HNF1B	ENSG00000275410	
HNRNPK	ENSG00000165119	
HOXD13	ENSG00000128714	
HPRT1	ENSG00000165704	
IDS	ENSG00000010404	
IGF1R	ENSG00000140443	
IKBKG	ENSG00000269335	
IL1RAPL1	ENSG00000169306	
IQSEC2	ENSG00000124313	
IRF6	ENSG00000117595	
JAG1	ENSG00000101384	
KANSL1	ENSG00000120071	
KAT6A	ENSG00000083168	
KAT6B	ENSG00000156650	
KCNH2	ENSG00000055118	
KCNQ1	ENSG00000053918	
KCNQ2	ENSG00000075043	
KDM5C	ENSG00000126012	
KDM6A	ENSG00000147050	
KIF11	ENSG00000138160	
KMT2A	ENSG00000118058	
KMT2B	ENSG00000272333	
KMT2C	ENSG00000055609	
KMT2D	ENSG00000167548	
L1CAM	ENSG00000198910	
LAMP2	ENSG00000005893	
LDLR	ENSG00000130164	
LEMD3	ENSG00000174106	
LHX4	ENSG00000121454	
LMX1B	ENSG00000136944	
MBD5	ENSG00000204406	
MECP2	ENSG00000169057	
MED13L	ENSG00000123066	
MEF2C	ENSG00000081189	
MEN1	ENSG00000133895	
MID1	ENSG00000101871	
MITF	ENSG00000187098	
MLH1	ENSG00000076242	
MNX1	ENSG00000130675	
MPP3	ENSG00000161647	
MSH2	ENSG00000095002	
MSH6	ENSG00000116062	
MSX2	ENSG00000120149	
MTM1	ENSG00000171100	
MYBPC3	ENSG00000134571	
MYCN	ENSG00000134323	
MYT1L	ENSG00000186487	
NAT8	ENSG00000144035	
NCKAP1	ENSG00000061676	
NDP	ENSG00000124479	
NEXMIF	ENSG00000050030	
NF1	ENSG00000196712	
NF2	ENSG00000186575	
NFIA	ENSG00000162599	
NHS	ENSG00000188158	
NIPBL	ENSG00000164190	
NKX2-5	ENSG00000183072	
NR0B1	ENSG00000169297	
NR5A1	ENSG00000136931	
NRXN1	ENSG00000179915	
NSD1	ENSG00000165671	
NSDHL	ENSG00000147383	
NYX	ENSG00000188937	
OCRL	ENSG00000122126	
OFD1	ENSG00000046651	
OPHN1	ENSG00000079482	
OTC	ENSG00000036473	
OTX2	ENSG00000165588	
PAFAH1B1	ENSG00000007168	
PAX2	ENSG00000075891	
PAX3	ENSG00000135903	
PAX6	ENSG00000007372	
PAX9	ENSG00000198807	
PCDH19	ENSG00000165194	
PDHA1	ENSG00000131828	
PGK1	ENSG00000102144	
PHEX	ENSG00000102174	
PHF6	ENSG00000156531	
PHF8	ENSG00000172943	
PITX2	ENSG00000164093	
PKD1	ENSG00000008710	
PKP2	ENSG00000057294	
PLP1	ENSG00000123560	
PMS2	ENSG00000122512	
POGZ	ENSG00000143442	
PORCN	ENSG00000102312	
PQBP1	ENSG00000102103	
PRKD2	ENSG00000105287	
PRPS1	ENSG00000147224	
PTCH1	ENSG00000185920	
PTCHD1	ENSG00000165186	
PTEN	ENSG00000171862	
PTPN11	ENSG00000179295	
PURA	ENSG00000185129	
PXMP2	ENSG00000176894	
RAB39B	ENSG00000155961	
RASA1	ENSG00000145715	
RB1	ENSG00000139687	
RET	ENSG00000165731	
RNASE12	ENSG00000258436	
RP2	ENSG00000102218	
RPS17	ENSG00000182774	
RPS19	ENSG00000105372	
RPS24	ENSG00000138326	
RPS26	ENSG00000197728	
RPS6KA3	ENSG00000177189	
RSC1A1	ENSG00000215695	
RUNX1	ENSG00000159216	
SALL1	ENSG00000103449	
SALL4	ENSG00000101115	
SATB2	ENSG00000119042	
SCN1A	ENSG00000144285	
SCN2A	ENSG00000136531	
SDHB	ENSG00000117118	
SDHC	ENSG00000143252	
SDHD	ENSG00000204370	
SETBP1	ENSG00000152217	
SETD1A	ENSG00000099381	
SETD5	ENSG00000168137	
SF3B4	ENSG00000143368	
SGCE	ENSG00000127990	
SH2D1A	ENSG00000183918	
SH3D19	ENSG00000109686	
SHANK3	ENSG00000251322	
SHH	ENSG00000164690	
SHOX	ENSG00000292354
SHOX  ENSG00000185960
SIX3	ENSG00000138083
SLC16A2	ENSG00000147100	
SLC2A1	ENSG00000117394	
SLC35A2	ENSG00000102100	
SLC6A1	ENSG00000157103	
SLC6A8	ENSG00000130821	
SLC9A6	ENSG00000198689	
SMAD3	ENSG00000166949	
SMAD4	ENSG00000141646	
SMARCB1	ENSG00000099956	
SMC1A	ENSG00000072501	
SMIM6	ENSG00000259120	
SMS	ENSG00000102172	
SOX10	ENSG00000100146	
SOX11	ENSG00000176887	
SOX2	ENSG00000181449	
SOX5	ENSG00000134532	
SOX9	ENSG00000125398	
SPRED1	ENSG00000166068	
SRY	ENSG00000184895	
STK11	ENSG00000118046	
STS	ENSG00000101846	
STXBP1	ENSG00000136854	
SYNGAP1	ENSG00000197283	
TBR1	ENSG00000136535	
TBX22	ENSG00000122145	
TBX3	ENSG00000135111	
TBX5	ENSG00000089225	
TCF12	ENSG00000140262	
TCF20	ENSG00000100207	
TCF7L2	ENSG00000148737	
TCOF1	ENSG00000070814	
TFAP2B	ENSG00000008196	
TGIF1	ENSG00000177426	
TIMM8A	ENSG00000126953	
TP53	ENSG00000141510	
TRAPPC2	ENSG00000196459	
TRIO	ENSG00000038382	
TRIP12	ENSG00000153827	
TRPS1	ENSG00000104447	
TSC1	ENSG00000165699	
TSC2	ENSG00000103197	
TWIST1	ENSG00000122691	
UBA2	ENSG00000126261	
UBE3A	ENSG00000114062	
UPF3B	ENSG00000125351	
USP9X	ENSG00000124486	
VHL	ENSG00000134086	
WAC	ENSG00000095787	
WDFY3	ENSG00000163625	
WDR45	ENSG00000196998	
WT1	ENSG00000184937	
XIAP	ENSG00000101966	
ZEB2	ENSG00000169554	
ZIC2	ENSG00000043355	
ZIC3	ENSG00000156925	
ZMYND11	ENSG00000015171	
