Parameter	Mean	SD	MCSE	ESS	LB	Median	UB
H_Y	-2.6447193338728296	0.5243766575428291	0.047210254380495115	169.12669496144596	-3.428216703519149	-2.7448633361045855	-1.4318611728160984
H_X	-3.6978014448371948	0.19752537996236635	0.011840961620438259	625.4848131333446	-4.056330556406374	-3.708154593682785	-3.2689581070415663
Q	0.5102298044917372	0.07198485451251556	0.00696329535169402	139.54653511976366	0.3753648548966794	0.5087731614973132	0.6596236787867282
C	-0.1865782200942533	0.304391070035589	0.03009213017018494	131.5796739102829	-1.0176686127950558	-0.11450329907739161	0.1967047788524876
Sigma_Y	-1.7958168187820271	0.2366914783947879	0.020443141947996922	195.73195834335812	-2.1466091852170397	-1.8401722966588345	-1.2395407120652115
Sigma_X	-2.200172900483615	0.08880629558433746	0.0048675874062045505	606.9964892197048	-2.3534103852100556	-2.2076768397956377	-1.999908706014706
Psi_Y_1	-0.5889839811350279	0.15871641214501306	0.003123765324012011	2615.0831502936358	-0.8960041637020237	-0.5896839167747887	-0.27142413480402094
Psi_X_1	-0.4036363059438784	0.1765508375742129	0.003045062003844335	4977.972747625042	-0.752840946435321	-0.4026715041391071	-0.062201865274993086
Psi_Y_2	-0.5297386958224404	0.15265208477671552	0.0027026066503896915	4759.582012280108	-0.82399840429087	-0.5305121473385963	-0.22757053704598462
Psi_X_2	-0.062037914122981916	0.1759996450015987	0.003024655307566006	4977.496086217257	-0.4032212668256894	-0.05916895454326334	0.274474469634911
Psi_Y_3	0.08625608246953748	0.1678404306880885	0.004439328363049458	928.4643574432502	-0.23863510722263676	0.084044046658699	0.417573927072433
Psi_X_3	-0.866328810745515	0.1796169012739925	0.0031092590011199896	5189.569067253841	-1.2200524622780458	-0.8673353279340545	-0.5111367237427292
Psi_Y_4	-0.9370437495866595	0.15574738071476193	0.0027022747975607516	5059.627775921813	-1.2460908166384126	-0.9385043452702753	-0.6277332255279122
Psi_X_4	-0.07801250916582991	0.17849418295045355	0.003116965365841494	4991.877265995597	-0.4269352843913159	-0.0797814927040777	0.2744772129695409
