Parameter	Mean	SD	MCSE	ESS	LB	Median	UB
H_Y	-4.220186506100244	0.15576369177501506	0.008593183501919842	607.1437636634025	-4.512214581640761	-4.2272011696919005	-3.9035499820935775
H_X	-4.1462235200148365	0.18420991606552103	0.009012029308178328	823.1770020900373	-4.500483907039335	-4.150577903301445	-3.784674262025391
Q	0.7264975427627914	0.0721403310098979	0.005696951691459871	262.22556792372626	0.5875338294041396	0.7265598398744759	0.8682767339949332
Sigma_Y	-2.6476813323727155	0.06201226594571031	0.0034357186850723295	609.8093875456352	-2.7569396119222076	-2.652736960919477	-2.514418298917963
Sigma_X	-2.453703810887846	0.0744239751117188	0.0034213213625526482	906.0310227044024	-2.588427141140675	-2.4578243866128835	-2.297640769385257
Psi_Y_1	0.8456073909649839	0.2054471778728585	0.004939142779378258	2271.530045061586	0.44970863695435853	0.8428938478138096	1.2624259410092942
Psi_X_1	-1.1534941436451196	0.1890616601944234	0.0031367713795808403	5290.260179138807	-1.5244405947282427	-1.1542447988841045	-0.7811934764878946
Psi_Y_2	-0.2144614352039053	0.20234652894448996	0.004674406485090093	2509.4289711121237	-0.6033708175256854	-0.2186419057477479	0.1951294304219223
Psi_X_2	-0.8907110960491156	0.1898449998592059	0.003338333148689833	4911.244840656838	-1.2584862673883446	-0.8902333619375459	-0.5193448558384233
Psi_Y_3	0.6894473588228748	0.20098158031940835	0.0037957946507875743	2789.237631629615	0.28337264976223703	0.692962269100056	1.0778701684523824
Psi_X_3	0.5437782762157026	0.1889190677052655	0.003155681628695191	5119.295551960023	0.16537158849490632	0.5442728964223856	0.9177567345429669
Psi_Y_4	-0.11310932616461834	0.19720571057208297	0.003627296935692528	4848.067733717875	-0.5045265348512079	-0.11564078307884099	0.2800634311534324
Psi_X_4	-0.3789188232744566	0.1920520154171294	0.003360353208772648	5025.556678580827	-0.7562243557806769	-0.37920213353009125	-2.966232639583272e-4
