Parameter	Mean	SD	MCSE	ESS	LB	Median	UB
H_Y	-2.644697306844908	0.26444988583268914	0.018416969045645937	408.0342786597007	-3.0697307957801563	-2.6751535924262626	-2.010323605116886
H_X	-2.5453166244303684	0.23258309771588337	0.012003812898452997	791.7322799598999	-2.967980970347665	-2.55400881565493	-2.049588952525679
Q	0.8154245431517267	0.08937549906114348	0.008777137143149765	148.15421012102857	0.6464056519355101	0.8104559419057289	0.9944922978877248
Sigma_Y	-1.9318613559672537	0.14225451212929313	0.010769524905843257	323.9377638033259	-2.1533494734302168	-1.9494579863888015	-1.5815528720879066
Sigma_X	-1.7344119005552807	0.1161842758511719	0.005930992440467672	823.9551640833888	-1.9432419805589267	-1.7392049583651485	-1.4866206364323702
Psi_Y_1	-0.6599945225264044	0.16180558074441093	0.004586468992229592	1074.4523756280225	-0.9813047456686055	-0.6578551250003856	-0.34840654050380226
Psi_X_1	0.6590141005333181	0.14020874825817256	0.0023284921831819355	5254.332265273001	0.3889746536277186	0.6588510606143908	0.9361009149455803
Psi_Y_2	-0.12263715774212965	0.15126733072576795	0.00256199453834553	5103.992146777009	-0.42414355188923863	-0.12118440510603598	0.16920371049275043
Psi_X_2	-0.02539675900418553	0.1416443782043154	0.002487084233174726	4858.930108426004	-0.2967020020867481	-0.027397531905332288	0.25760832192428706
Psi_Y_3	0.1372509177211786	0.15488757356238148	0.0030375865815679103	1877.7529424109841	-0.16718988030806203	0.1355166884135439	0.4466500848242034
Psi_X_3	-0.4273949413066668	0.1419002323633976	0.002340194161676885	5173.42945899082	-0.7025336998393193	-0.42648121770051683	-0.14944917217492806
Psi_Y_4	-0.29275622546225555	0.15455666103326487	0.002763555350891824	4687.36893543982	-0.5992701909671508	-0.2938178324081656	0.014716118942477912
Psi_X_4	-0.029391416265454145	0.14309328092159018	0.0025309719853409784	4870.6094567929285	-0.31192904394048304	-0.027742258787945423	0.2460943900240229
Psi_Y_5	-0.3810186594812533	0.15973771598905756	0.0033863553224286473	1401.5495704937796	-0.6828656940806556	-0.38548131376787914	-0.0607047673667064
Psi_X_5	-0.6054612018277604	0.1400515046575478	0.0024721950650318843	4862.4085429853085	-0.875256094517527	-0.6055187519987628	-0.33079135643736907
Psi_Y_6	0.24584104604326948	0.1919023754272509	0.012364366638677305	434.13198669600837	-0.11414508484285493	0.24114441542484577	0.6391747712741179
Psi_X_6	-1.3932651761515242	0.14327526627769793	0.0023799026598138665	5146.182593125171	-1.6698732543410661	-1.3922033990657987	-1.1105616873458513
Psi_Y_7	-0.14113869788918237	0.16644855484457355	0.00557562205400926	957.5254239367932	-0.469288675567905	-0.13835714289063278	0.17980747076501397
Psi_X_7	0.7979197257418158	0.14565606359825145	0.0025306071483106375	5126.950309269843	0.5118375768998153	0.7984384486793934	1.0800423761119955
Psi_Y_8	0.8213410234253817	0.17411485077394798	0.006099810002587181	614.3109353704847	0.47336909320381415	0.824279409613542	1.157514218859963
Psi_X_8	1.0408764273684221	0.1424694184796854	0.00240936897027785	5204.494372756735	0.759927610624496	1.0426824124967151	1.3232694636410571
Psi_Y_9	-0.3245013874723886	0.1513658315761288	0.002633236316587953	5135.941692578771	-0.6270741648560111	-0.3259514532978791	-0.025775624417976567
Psi_X_9	-0.05809809281712859	0.14193923456355018	0.002396877172994589	5174.308961585583	-0.3372521298801593	-0.05685837788696521	0.22446076176950613
Psi_Y_10	-0.7176761995790552	0.15661880600563247	0.0031199307630058602	2547.9830359868834	-1.0318784514311716	-0.7161948565452025	-0.4118910081218737
Psi_X_10	0.49907256368308583	0.14444272416390946	0.002399631913114665	5251.0728618261155	0.215007750319793	0.49883314157839675	0.7855879571807418
Psi_Y_11	-0.6012927247076695	0.15258697621932302	0.0026885925406990438	5255.887203570516	-0.9082088066748529	-0.5990695284619095	-0.30380612609830376
Psi_X_11	-0.0730734164173524	0.141542646174021	0.0024560027529660837	5238.038598379291	-0.3489403845592618	-0.07207084380651921	0.20608452746701614
Psi_Y_12	-0.31112558076479	0.1525735163510958	0.0026833380426360947	3902.4769491722277	-0.6028361083829487	-0.31408563420296937	-0.010070830210629496
Psi_X_12	-0.26466200968406256	0.140805739037024	0.0024268214801452517	5171.264417341786	-0.5434979304411754	-0.2629113024690258	0.010461537803520854
Psi_Y_13	0.37962787436509837	0.1545758753219564	0.0026784617632296267	5002.565385393676	0.07123702494576792	0.3822256581776222	0.6812357062563269
Psi_X_13	0.16831334354104074	0.14496920097847837	0.002440719779436083	5186.478431960255	-0.1158329526606365	0.1665107323922943	0.4582729044017484
