Parameter	Mean	SD	MCSE	ESS	LB	Median	UB
H_Y	-2.784115413904081	0.9879318367471076	0.09417363816430163	151.87668393180593	-4.123086578673196	-2.9738359469233693	-0.6897224496995963
H_X	-4.514126334543906	0.1985126381780392	0.009625277247165059	780.601051754912	-4.902601095670869	-4.517577870723722	-4.122637951448721
Q	0.44716904786926837	0.06964541159577615	0.007192347869673392	103.8575415034059	0.3168198284285861	0.44422066410592287	0.590689583080824
C	-0.0063292904374173484	0.518827447407659	0.05539703457067088	90.73003883386592	-1.493145485938601	0.15158399786762256	0.6423293387063508
Sigma_Y	-1.8941261228716821	0.4729506465443624	0.04436437054723165	155.40672555225925	-2.510055999463784	-1.9933152019669542	-0.8535270621640105
Sigma_X	-2.577129946252516	0.06757058448842372	0.0030577755488674766	926.2704743572424	-2.6982805880596867	-2.5813519167861783	-2.4341298003264042
Psi_Y_1	0.16180507900151478	0.14721417837354547	0.0023662566097481775	5630.886905287442	-0.1270831113957685	0.16329815987753638	0.4462472589076199
Psi_X_1	-0.042549843938354086	0.2327954341718637	0.004520864650302949	4140.186957285275	-0.4953398877782156	-0.04160125312423763	0.41914119757454826
Psi_Y_2	0.4182993210809625	0.1621145585823227	0.003954417535085073	1112.5944875221007	0.1130251864844018	0.4136911653815437	0.7543090590238856
Psi_X_2	-0.8620276930048983	0.24237879976708213	0.004677855808180053	4487.615029214798	-1.345124908805956	-0.8598514632825216	-0.3992084935078738
Psi_Y_3	-0.05870570943530082	0.1479029659253089	0.0025601541784472386	5019.91515934957	-0.3464839449473215	-0.05803343580479768	0.23854473974428633
Psi_X_3	-0.056031481031621116	0.2233745609200952	0.0037019934143682283	5372.526065445776	-0.4853359150544508	-0.057965256486996505	0.3858915598856807
Psi_Y_4	0.09868937476825984	0.14679874489217926	0.002500609598352073	5117.028781769115	-0.1872569747704244	0.09905756104155682	0.3948952145211713
Psi_X_4	0.016214046085021364	0.22840844366369684	0.004010553912634866	4964.706694925642	-0.4459386921887051	0.0170808415942125	0.4619322821938005
Psi_Y_5	-0.25371861844880994	0.15042671868993168	0.0028617886684622882	4217.905285491195	-0.5498595076332232	-0.2535205425801129	0.0373562617642769
Psi_X_5	-0.04484640596803627	0.23029922244183587	0.004149341740139584	4551.303854922844	-0.4943404730412204	-0.046848529386696744	0.4237828201864431
Psi_Y_6	-0.002305829793068768	0.1479446324697722	0.0026321408547234195	4912.8071318881075	-0.29295191951663413	-0.0017481997756086526	0.2868250736243079
Psi_X_6	-0.2279245828103318	0.2264741891333527	0.003731042269347935	5264.459033563886	-0.6671308772542198	-0.22890538463089044	0.21881873651668504
Psi_Y_7	0.3334193719282488	0.14771806454341918	0.002612925871070607	5207.674151062592	0.042167537427610785	0.33561944021569745	0.6180859912986223
Psi_X_7	-0.20524885166067028	0.22344094009958013	0.0038025122436407223	5380.17659148876	-0.6455383285269318	-0.20664639271359792	0.23385936567917087
Psi_Y_8	-0.16738478981329674	0.1510369092613961	0.0027091156324481895	4280.69890815092	-0.46024028727458627	-0.16717265197164421	0.12778842284633232
Psi_X_8	-0.5793794344227987	0.2267097994812759	0.003933573811251848	4978.191609326654	-1.0335251418540305	-0.5780458101071921	-0.13589610953139827
Psi_Y_9	0.1770441334059086	0.16429123934748915	0.004493576717715339	738.5742210871028	-0.13928037852899156	0.17451595478505327	0.5088176750105712
Psi_X_9	-0.9979005170450835	0.23370547985807474	0.004072921020253601	5063.504052397967	-1.4629069094112368	-0.9954799358313074	-0.538442554107439
Psi_Y_10	0.18339969676577952	0.14678102997238768	0.0026832867545938653	4777.091546557236	-0.10636531125566644	0.1819538567454888	0.4695454000650796
Psi_X_10	-0.26872798454414204	0.22608824381413073	0.003997227914817799	5043.22131697216	-0.71656326603946	-0.2695639604391212	0.1661256842412818
Psi_Y_11	-0.36813671461133124	0.15396705108636952	0.0032339986641134817	2545.3055949853965	-0.6678419235138495	-0.3670597748306995	-0.06641277927347747
Psi_X_11	-0.6707711436391323	0.2265598935504027	0.004013949578240621	4921.247766173772	-1.1130005021023908	-0.6702312103192871	-0.21664931517659217
Psi_Y_12	-0.13460745902381654	0.15740386286895772	0.0036540215492420302	765.8861599153681	-0.4379601795599525	-0.13862535538348714	0.17848301485341192
Psi_X_12	-0.7449042585078166	0.22635002679536317	0.0038185245577459946	5474.467457125554	-1.1938236034391512	-0.7468570655152011	-0.30155341513513473
Psi_Y_13	1.1194420547646666	0.15770943543224755	0.004270333066446157	834.1276601166576	0.8067903820957331	1.1209076803308933	1.4235684877581494
Psi_X_13	0.9135800931476591	0.23016632232638393	0.003955283707807076	5209.695048595059	0.45321245944833116	0.9185736525239173	1.3504505122002253
Psi_Y_14	-0.005403466524892206	0.16633959417258348	0.0047740611885886425	648.7282765267063	-0.3262752420819629	-0.00987180684597977	0.32903787590785333
Psi_X_14	-0.8731362018376825	0.22888487948645445	0.003963114357415579	5011.370182204294	-1.3148077272272207	-0.8758290380904981	-0.4186901891195977
Psi_Y_15	0.8019673218685662	0.24785624718472854	0.021012075442222087	165.5789349323549	0.2942756871806121	0.8114011209966205	1.2643255732581926
Psi_X_15	2.769319743933857	0.23287873236715745	0.004210542617361007	4677.5472186607985	2.3064537381236767	2.7722350842648824	3.214974772619691
Psi_Y_16	-0.10554102852714914	0.14583641935281494	0.002439298487936074	5374.097138802395	-0.39358661339800705	-0.10448611117846646	0.17906845678097147
Psi_X_16	0.029472081627666034	0.2249906356806494	0.004090780741613379	5050.81687093969	-0.4046500534269823	0.028100474570455863	0.4737678630758954
Psi_Y_17	-0.3702665251795435	0.22872345438300723	0.01849532364608023	176.44792849029102	-0.8284210785583395	-0.3658418053400516	0.0647079996608594
Psi_X_17	1.9583094287559022	0.24246352392567072	0.005182080611245792	3663.1790565504416	1.4717256210769343	1.9649043831084518	2.4230863648354672
Psi_Y_18	0.18242064979126713	0.1700190023470894	0.006288668370573267	514.2982817474352	-0.14470852671806889	0.1790688570694769	0.5263317861531517
Psi_X_18	-1.0656678758600613	0.22699032618931447	0.0038694454155388147	5176.387245945292	-1.5092290889575035	-1.065214957793542	-0.6196792144934904
Psi_Y_19	0.47293910349858814	0.14887424199615093	0.0026414351244864183	4715.845466072675	0.18141555695492798	0.4718306897236845	0.7632979776989446
Psi_X_19	0.26124740892753684	0.22847144156954738	0.0040068644604993155	5228.600219801434	-0.18160346784044995	0.2595071819388827	0.7094733583989078
Psi_Y_20	0.4030371684024376	0.16157992732170956	0.004210897763043821	810.3950964054648	0.0927107059318874	0.4010155601773286	0.7343009950569511
Psi_X_20	-1.0890815337246713	0.2292484251473056	0.0038723974748290303	5165.3658190765755	-1.5443031361576651	-1.087641693495688	-0.6464915189933169
Psi_Y_21	-0.19840636899031758	0.14963050592528837	0.0029128620170798232	4230.274332886352	-0.4892866120452855	-0.19881962639724188	0.09874346209860317
Psi_X_21	-0.38163910975165627	0.2278551989131898	0.00394192395625989	4997.380167306718	-0.8266649949800495	-0.37968592099884624	0.07092946855064275
Psi_Y_22	-0.41944412258199	0.14784116959822077	0.002477054361433714	4935.77182387136	-0.7177890511109435	-0.4175364619657844	-0.13888233730703253
Psi_X_22	0.12026275769607706	0.23045541175130027	0.004045058689701015	5035.001047636906	-0.3340456545540285	0.11844703468808589	0.5757065026698726
Psi_Y_23	0.22450052244826907	0.14833960686271236	0.0026748372680944718	5044.5737792176005	-0.06650948213891862	0.22443005571215224	0.5136402136548259
Psi_X_23	-0.05689998678897295	0.22825763387824927	0.0037216243241946674	5253.795426209555	-0.5009352235503016	-0.05765125736603871	0.39632161017963763
Psi_Y_24	0.5556907978100863	0.16138530186531608	0.003765627039753672	691.1213009040304	0.23906732693563915	0.556993898829556	0.8730909345675436
Psi_X_24	0.872605789921962	0.22307957302108364	0.0038512782097639775	5127.266180141684	0.4279550009549901	0.8737205678471744	1.3120696629585082
Psi_Y_25	-0.7476268592055475	0.21023426405318374	0.010388917983979389	255.63786213482723	-1.1721502596202422	-0.7407795661020258	-0.34903461641919564
Psi_X_25	1.965313108060139	0.2356057385267817	0.004059136482290956	5295.333656390241	1.4988837440449958	1.9641822366588575	2.427412557930206
Psi_Y_26	0.13737946848131824	0.15002863345781273	0.0027791319249886237	3979.0533839733384	-0.1571645523732541	0.13732097949584637	0.43349339754379546
Psi_X_26	0.17248984060204256	0.22490206997437043	0.003833837597445823	5129.875808115254	-0.27216578591294555	0.17436257497522084	0.6045773764994069
Psi_Y_27	-0.2588072648041781	0.15394523153671863	0.0037868752729009925	1128.3864341799174	-0.5568696005463105	-0.2597595498732641	0.04540710108443805
Psi_X_27	-0.7000562245399761	0.2265255232083791	0.003629396939827124	5374.275725438256	-1.1403920890663852	-0.6990241095594066	-0.2518502261072904
Psi_Y_28	-0.34297786080580067	0.14730162853320777	0.0025478653281108296	5030.120209648841	-0.6344364122565052	-0.34449068977274355	-0.05667106570377508
Psi_X_28	0.2662269266018384	0.22601219623287774	0.0037480127830798655	5186.876676427386	-0.17745919341156358	0.26611656596120026	0.7009616190624238
Psi_Y_29	-1.0612163335112608	0.14777126830904444	0.002468721835110175	5087.543545121098	-1.3506779562814455	-1.063954065574509	-0.767671561239172
Psi_X_29	0.0567309958676357	0.22792918370642823	0.00371681885650775	5367.159190289166	-0.3900110228987358	0.05288503053590712	0.5071792484764922
Psi_Y_30	0.3268122114514331	0.14766555292218486	0.00262596583775872	4934.6055637821855	0.042934366566450506	0.3258062041272974	0.6245183340045699
Psi_X_30	-0.24672143808386793	0.22693041077473877	0.003799821247969578	5145.068114597713	-0.701358123493886	-0.24836319832936282	0.19498834402334125
Psi_Y_31	0.20020274789640347	0.16164386697108032	0.0038577187842758465	850.9750511143694	-0.1279854519447411	0.20506569878209827	0.511229065062245
Psi_X_31	0.7689622640334327	0.2240932730147854	0.0038436952535151835	5252.871492456078	0.32582231592401506	0.7691050367289798	1.2096686628178153
Psi_Y_32	-0.2607402060020068	0.15530757025295447	0.003714091880316546	1089.6096232861441	-0.573234444891508	-0.2584455202003875	0.03956911131322967
Psi_X_32	-0.8475444315358197	0.23078335727669985	0.003984217737972664	5012.668578301483	-1.297559105556397	-0.8484544136474548	-0.3912396893276161
Psi_Y_33	-0.02571315347598531	0.16944467815490158	0.006536909956509291	557.75377168034	-0.34729797871429585	-0.028522469729567575	0.3172514965313307
Psi_X_33	-1.088970873176766	0.22759018155277536	0.004030637835958127	4905.047525793796	-1.5300268530127752	-1.0913090119051838	-0.6347558746862836
Psi_Y_34	0.4262132653295078	0.15304562966846222	0.0030542574324683327	3370.815576630823	0.11942991272644178	0.42785480677822285	0.7306326942529091
Psi_X_34	-0.4038949625868873	0.23249991551814084	0.003929499564893695	5309.605398467497	-0.8575140574332758	-0.4073149364617153	0.06307065978405763
Psi_Y_35	0.5068039838563556	0.15142296139001665	0.0028935136216507802	2149.7531948647	0.2053484323331089	0.5066064570982034	0.800966659567553
Psi_X_35	-0.48078631490991525	0.22787294522678772	0.0040182196220372775	5065.426999681832	-0.9209336476789345	-0.4817406169581576	-0.029109041589646757
Psi_Y_36	0.3741027818690779	0.14787937387021777	0.002731884493947861	4662.778444710057	0.08929132528426928	0.37544525164029585	0.6623763922408277
Psi_X_36	0.2570386134435902	0.23001497528440018	0.003919456810815992	5031.177840919535	-0.19717239079930177	0.2584696749941957	0.7074144042336384
Psi_Y_37	-0.6271580635251627	0.15824588449199337	0.0036027886302153842	1175.7570914164814	-0.9304983418768468	-0.629274330121921	-0.30431705572906864
Psi_X_37	-0.5717281916250794	0.2247033500902812	0.003918399939217256	5007.046799937635	-1.0131437727076815	-0.5714558575453021	-0.125039643274844
Psi_Y_38	0.36518777734070185	0.15666391370482413	0.0030275485335720313	1716.0515666797205	0.05407833712401407	0.3670038015804922	0.669955635792216
Psi_X_38	-0.48311327969542495	0.23082573707477597	0.004069727997624491	4958.542746276242	-0.932193317232245	-0.48363807003703574	-0.03107002883771185
Psi_Y_39	-6.012336058648617e-4	0.15668672299201578	0.003618706805950125	1246.2091633562668	-0.30557871219557925	-0.002926872957666445	0.3146790382923874
Psi_X_39	-0.5913066880681442	0.2287036161921301	0.00391627776772092	5173.450019846514	-1.0372063925361268	-0.5931191232983236	-0.13430293459939985
Psi_Y_40	0.3571110513889341	0.148249945917948	0.0026988853866624523	4723.876062862978	0.06206867630610518	0.3575017215788203	0.6430931652045166
Psi_X_40	-0.2780649636118729	0.22893765489691362	0.0039014830197666617	5038.627966633924	-0.7389016349184122	-0.2747542196936826	0.1753300787418906
Psi_Y_41	0.018198854451732627	0.14723413562507343	0.002634199627154813	4124.131834833512	-0.27438799714219614	0.01862199919262319	0.3065205917912314
Psi_X_41	-0.20748457557325325	0.22770951278519014	0.00416287687303034	4738.933815330434	-0.6460375458924603	-0.20789632074675962	0.24874958602889344
Psi_Y_42	0.30088194808163676	0.15016731243442424	0.0029870850137014154	3223.162044567336	0.0024019031550099553	0.3016398442410741	0.5973834417252065
Psi_X_42	-0.2673271659079405	0.22874705375749058	0.003993829336572656	5119.848385614894	-0.7187309059499044	-0.2674618980873592	0.1776396180126371
Psi_Y_43	0.07314268899152167	0.15479963814765366	0.003251690528278755	2429.346930308387	-0.23382187778566613	0.07264728391870909	0.37061263992474613
Psi_X_43	0.40689680710204057	0.23002902464242503	0.003998078221155519	5108.062786472131	-0.056049586938820485	0.4106605483018988	0.8487755308559793
Psi_Y_44	-0.9707606234304744	0.14624333628094824	0.002378898181616809	5462.890270252418	-1.2555088507333063	-0.9730369794903467	-0.682164380385119
Psi_X_44	0.17817319153734967	0.22244980373728024	0.0038641265054967446	5115.126133889187	-0.24948060810836833	0.17865728899923572	0.6160698484942264
Psi_Y_45	-0.22120015761836753	0.14613465854267663	0.002541999257604815	5350.957826750855	-0.5106769153931365	-0.22047512468025346	0.06293033449225875
Psi_X_45	0.06460442254640023	0.22401092690748262	0.0039385480804001	4759.169113981187	-0.38023778457190155	0.06642353764078773	0.5081795429916335
Psi_Y_46	0.11046115061462507	0.14861282393935565	0.0030392377580648828	2989.327428563942	-0.18041059018930802	0.11234587605557349	0.3963354976493731
Psi_X_46	0.24400266367264284	0.2296816500243173	0.003960638122853419	4932.392785207536	-0.21019955427432416	0.24437137740642287	0.6870159520164248
Psi_Y_47	0.139453545773342	0.14582150145041525	0.0025568435796511453	5008.455982255898	-0.1468245455088554	0.13865892096374494	0.4323854622895089
Psi_X_47	-0.2400019597173322	0.22808791637584971	0.003931603731083829	5089.443600400182	-0.6853249298368264	-0.24302643754655529	0.21524425264658725
Psi_Y_48	0.3037861117091899	0.14699494031059682	0.0026724721154170916	4418.569541447045	0.01793831664567579	0.30402504227800004	0.5938266193756223
Psi_X_48	0.031406116785858834	0.23340887066604385	0.003872989051196609	5482.358266342019	-0.4354737470665478	0.030176281863349568	0.48769060923856983
Psi_Y_49	-0.10625059083699598	0.14957506623913436	0.002849084699089264	3621.341203162859	-0.40517848216102026	-0.10490227354712553	0.18376386485878624
Psi_X_49	0.29317174899516896	0.22512009861480936	0.0036482321422308226	5186.14662392468	-0.14814849141577618	0.2954625511486163	0.7347823956138465
Psi_Y_50	-0.19505931846973013	0.14746640783243634	0.002775483870742298	2640.0574903566644	-0.4834570731838544	-0.1939139254208126	0.09100103013554094
Psi_X_50	-0.4323752419254502	0.22813380992358726	0.0037047400226284896	5348.835500969636	-0.8741795148752645	-0.4316991766759792	0.013048470920672217
Psi_Y_51	-0.8455572677866198	0.22979324131842918	0.018251926537375306	189.9832108990359	-1.3193807481956066	-0.8377164915433667	-0.4026769905555554
