Parameter	Mean	SD	MCSE	ESS	LB	Median	UB
H_Y	-5.255175831440252	0.2525963452202592	0.011037206394950441	1071.3820624490493	-5.807904092613762	-5.229226008144857	-4.821755147661568
H_X	-4.640892591570399	0.2134972109253997	0.011304723206034099	757.15424369427285	-5.088263671733054	-4.633046198142817	-4.2501884147566145
Sigma_Y	-2.5289373883014155	0.048673810178630934	0.0016575987678055532	1561.738953344737	-2.621529328107715	-2.5286758641389775	-2.4335977794058983
Sigma_X	-2.5931584147690487	0.06459259044025101	0.003086154131336607	852.7317690091999	-2.713170079275084	-2.5954033514786135	-2.4612060928679838
Psi_Y_1	0.5697839483199709	0.3597963159216675	0.005949734297479602	5292.049441531662	-0.1379478426599097	0.5644769690321805	1.2748374216041813
Psi_X_1	1.3110567772104098	0.24172932187276333	0.00421511778643454	5175.899006040531	0.8294296588925116	1.3108770782856216	1.7766598264185525
Psi_Y_2	1.1078113727560162	0.3650233759013524	0.006462413008264476	6205.230563720575	0.39447779511073994	1.108651733009486	1.816864393832029
Psi_X_2	1.7794979015623549	0.24703205918542565	0.004398377532827451	5005.634667584573	1.2900684110378726	1.783450879398229	2.2630839266646685
Psi_Y_3	0.49919476940879315	0.36123154913400735	0.006153698636381719	5194.083440712836	-0.21569297670641915	0.5016934562510635	1.202818687102321
Psi_X_3	1.6715109364525451	0.24702609048988222	0.00430095507883365	4942.428916657794	1.182661717269771	1.673780739677553	2.1547764847222313
Psi_Y_4	0.37368852260707014	0.3563946190878173	0.006098898253920705	5206.067970117024	-0.33094185962715766	0.3755172844553223	1.0885587959325458
Psi_X_4	1.0433503811778662	0.24646199330241012	0.004451324832556591	4583.681801343856	0.5478426927311233	1.0443102064726282	1.5224857263704115
Psi_Y_5	1.1069064183626875	0.3556037118441899	0.005950780202651648	5240.619898779835	0.40059975834116457	1.1121933623989002	1.787743472544189
Psi_X_5	2.0910427891684797	0.24517590094072644	0.004443513825205908	4728.709562720512	1.6040385570111282	2.095536968382692	2.5633214875628965
Psi_Y_6	0.954357428479396	0.36882386471299233	0.006203680479204245	5271.225419683751	0.23844275545303742	0.9546799905804062	1.6797188571505828
Psi_X_6	0.9511828963933471	0.25360163709681527	0.0044078535295425415	5065.346133191499	0.4740850528054969	0.949026351598686	1.4584363655069537
Psi_Y_7	3.251493591284862	0.3620471261066034	0.0061490328816157114	5141.257832628758	2.533366821892338	3.2523162247998805	3.9686481761139545
Psi_X_7	3.961657398319756	0.2510031952017084	0.0042463984468212946	5162.857052849524	3.460266494346451	3.9660202904712296	4.4407612290683645
Psi_Y_8	1.4305810192340778	0.36267356700194336	0.006473035783661294	5041.587176682599	0.7194305143989197	1.4299553565791443	2.13850604804125
Psi_X_8	1.5900073273238502	0.24278632359808938	0.004088898105916498	5240.8166754428275	1.1097440154758433	1.5914089101721318	2.058416446000055
Psi_Y_9	1.2200740792802907	0.35876348697228844	0.006313899741519006	4787.970453400687	0.5197021683023669	1.2224181512181227	1.9206692510997305
Psi_X_9	2.239292397796714	0.24569672349488983	0.004445224385024971	4895.811383024229	1.7544615870157818	2.241696470836737	2.7155773178038403
Psi_Y_10	-0.4164553271614875	0.37747499202041007	0.0066458238903353796	4818.958496793991	-1.1657975951947714	-0.40863596997105833	0.31013029793297725
Psi_X_10	0.4996387309186693	0.25056876191252586	0.004546938277111612	4916.662293489689	-0.004909188593271912	0.5010529843053841	0.997991360455458
Psi_Y_11	1.4474748419558918	0.3587823034309613	0.00603688717261589	5143.989980470568	0.7344023774637741	1.4488479450972445	2.1475473697805634
Psi_X_11	2.033058439559677	0.2465181084556007	0.004099414549365225	5116.767735505823	1.5466736005031327	2.0354141419420575	2.5108638105514625
Psi_Y_12	2.455710972073733	0.3670893324600395	0.006137101955579348	5176.966048687892	1.7196880913357373	2.456873792061386	3.167817294331771
Psi_X_12	2.744917823979513	0.2434947353954328	0.0043584498915381804	4881.246693570141	2.252770997862273	2.7498618233619103	3.216426541920534
Psi_Y_13	1.0229952541829612	0.3566447148598008	0.005879866359862548	5241.423681894292	0.3236244723310674	1.020594715487574	1.721814561931853
Psi_X_13	1.272891693332209	0.24403571461673854	0.004345914338436858	5014.789231233817	0.7851987932046423	1.2766456721849933	1.7551060510814
Psi_Y_14	0.12795397623468693	0.3505597545087389	0.0059704275322329525	5357.247960964495	-0.559913010365016	0.1254835827361672	0.8145479211263165
Psi_X_14	1.063605404107195	0.24461925603699494	0.004306556937729876	4705.919163424255	0.5717484717538202	1.065080506279546	1.54457417682539
Psi_Y_15	-0.28522328326905366	0.3615804039911159	0.006588641880891901	4666.321407322416	-0.9882958226119851	-0.2849496152796074	0.44276206030718857
Psi_X_15	0.13588705067990386	0.24209027555070148	0.003951488306400011	5238.091331568271	-0.3411542576645015	0.13606254592984526	0.6128500840054274
Psi_Y_16	0.7155236467286448	0.3548261498209825	0.006053471813421099	5085.541658485418	0.02834129615896286	0.7164817117796274	1.4081775316689034
Psi_X_16	1.288994005411455	0.24211729614606647	0.004198954552236342	5066.012272820518	0.8144289178173172	1.2866006125284022	1.7652947042966953
