Parameter	Mean	SD	MCSE	ESS	LB	Median	UB
H_Y	-2.7877519721410216	0.724028064664449	0.03593265745266527	801.9181995964179	-3.951771346012505	-2.8695775249955844	-1.1364148504217622
H_X	-2.4887355205152963	0.810125755018603	0.041043114556402784	486.16093957053374	-3.971201057342127	-2.513484979526233	-0.8880181342895438
Q	0.6838309424993438	0.21155301769861326	0.02263053490747178	87.61305117276699	0.31029360815395474	0.6660811590055076	1.1363755280442434
Sigma_Y	-2.022473208496723	0.35764183335120353	0.018889427169356165	717.9665203166472	-2.5612322114860824	-2.075579823706702	-1.1742628110253164
Sigma_X	-1.6445245628450726	0.39699216261734305	0.019851917370409186	503.961836158404	-2.344305391254352	-1.662575190417361	-0.8393514973015977
Psi_Y_1	-0.3129189793234159	0.20208427908957802	0.01110581894064715	225.38770462532324	-0.6819131763225557	-0.32107020970661504	0.11138145716676419
Psi_X_1	-0.6239999683489075	0.1545698185016608	0.0028493861036146015	4625.108733137932	-0.9220371755214604	-0.6223587590245889	-0.3194634236327052
Psi_Y_2	-0.340998794622681	0.25594162842799884	0.02237559052765376	144.19393616391406	-0.80236712332591	-0.3560470480151524	0.19609540775481282
Psi_X_2	-0.9935093117738925	0.155404662799016	0.002889249257372264	4735.704124019058	-1.3026061997271654	-0.9921258541331502	-0.6933405686855019
Psi_Y_3	-0.8115663248106084	0.28013562428685723	0.025798209294463584	118.42585612890716	-1.3063376494115078	-0.8301963026986099	-0.21455481453932632
Psi_X_3	-1.1196447970626735	0.15409818714553766	0.0028887367053199724	4470.8084543526575	-1.4203143564369303	-1.1191860951758823	-0.8143353384739205
Psi_Y_4	0.02089572508055206	0.3711411364903316	0.0366804366165073	106.5652207851297	-0.6403573591239532	-0.005565522784253665	0.8177493920416946
Psi_X_4	-1.6408412412489009	0.1551506533382931	0.0030380222025299147	4444.809162796077	-1.9480408778124618	-1.64176792027131	-1.3368834592750198
Psi_Y_5	-0.5956040242760011	0.2830225167881608	0.026021210956482875	110.99990931735145	-1.0928814378132252	-0.6123042542587739	0.008457661827770895
Psi_X_5	-1.1439603560390197	0.15283469345706047	0.0026807310391302164	4919.811888139505	-1.44259131239657	-1.1455893162135165	-0.839125823294682
Psi_Y_6	-0.866898510312133	0.17815888642351377	0.006904747114640446	308.1245054592686	-1.1922359439962675	-0.8749217896001091	-0.49728742305526463
Psi_X_6	-0.4262444469351606	0.15497834067620117	0.002809756157162144	4654.751592220461	-0.7386277119833845	-0.42296548945485324	-0.1290564047683201
Psi_Y_7	-0.38900067349365425	0.20059998621325478	0.011110006877174929	238.6255683852471	-0.743405660467238	-0.4013592456833097	0.037836066712492136
Psi_X_7	-0.5852240604393867	0.1560033003129673	0.0030090073285345864	4302.814572714465	-0.8960362683887136	-0.5858671505626083	-0.2796016165680336
Psi_Y_8	-0.3903320927606427	0.21951481403825	0.016704686872692713	195.0798903738949	-0.7858797659280993	-0.405697395071975	0.07219687199171682
Psi_X_8	-0.7444306949036142	0.15578555246824694	0.002816307921899226	4887.665375627562	-1.050799135126795	-0.7460314890477642	-0.4357891102087135
Psi_Y_9	0.8241512350354985	0.2862257107239614	0.026274439072986756	124.72162384855918	0.3136604074931195	0.8044112869349285	1.4200096512499718
Psi_X_9	-1.1781753777727955	0.15543407803949966	0.0027338488524193266	4867.028964006047	-1.4824611873031768	-1.1798576367350728	-0.8706400402868907
Psi_Y_10	-0.056678573222726444	0.27737183664092774	0.024889109781089692	125.0988452327489	-0.5520148725962307	-0.07365529636321813	0.5343404544072354
Psi_X_10	-1.1200450382878464	0.15891636309554222	0.003006777601844599	4408.549121639538	-1.4400869665214562	-1.1179509731346435	-0.806360139610562
Psi_Y_11	-0.494913379177523	0.24289440550866465	0.020443130641293536	138.92263213967385	-0.9340607003285489	-0.5106725214995484	0.0127463860093688
Psi_X_11	-0.918456836849167	0.15551273239708477	0.002761971038597261	4596.929004802972	-1.2233258671650298	-0.9186396085908974	-0.6133735092063848
Psi_Y_12	-0.28176037331755016	0.36570161661093514	0.03614552844495267	112.34262187970896	-0.934722397117133	-0.30569376834667955	0.49147416861103
Psi_X_12	-1.6252531341528416	0.15327988947764076	0.0026491797821781606	5102.045759175425	-1.930269071718242	-1.6247234304692113	-1.3219665192536145
Psi_Y_13	-0.39777197955013927	0.2372719995602757	0.014766147717741191	144.50332468453723	-0.8263616642643113	-0.40802684706140935	0.10592205747967935
Psi_X_13	-0.8840927714062657	0.15173762081498826	0.002740530422732296	4791.368660706387	-1.184466245745223	-0.8847076788151274	-0.5791480903508999
Psi_Y_14	-0.142309587515413	0.20076043766802604	0.01301760356763041	189.2345577973412	-0.49652030611851544	-0.15407848334474328	0.287386871449728
Psi_X_14	-0.6249464216470509	0.15448356801530294	0.0029149151687018785	4382.796130625129	-0.9241878826207656	-0.6248632572099053	-0.3189542222789368
Psi_Y_15	0.7686489437176486	0.32596888584721456	0.031230775377374016	115.19345550836026	0.18304605160555124	0.748565795072671	1.454539851872723
Psi_X_15	-1.3903125064634718	0.1617448370382533	0.0030852614805280815	4261.390591539413	-1.7007721770360467	-1.3920311563777377	-1.0667748401535668
Psi_Y_16	0.14210491486438856	0.2401105677193735	0.020003412224913152	178.81236056093775	-0.28699627773480707	0.12844002448469333	0.6515678733006351
Psi_X_16	-0.8952165313100022	0.1533382654129387	0.0026584412635590805	4809.859983646198	-1.1958521288712733	-0.8954734214269591	-0.593894637576467
Psi_Y_17	-0.2786720554657813	0.31021680198490953	0.029409423619535132	124.40541661813643	-0.8366384426498137	-0.3001511301139068	0.37719495595498204
Psi_X_17	-1.275285155446851	0.15514858752761757	0.002971420244076554	4269.661713592427	-1.576846835044501	-1.2773466264133666	-0.9651641040280589
Deviance	414.00565449685496	10.868200757243532	0.3324713696860618	2011.3009723039654	395.7864480968001	412.88999289191986	438.3051227985001
LP	-258.6538294106459	5.304120995461071	0.15645665708087592	2188.8855657068434	-270.500023000305	-258.18094281480796	-249.74084293341843
LP.unc	-249.71034414664783	5.18361504639467	0.1376330254259176	2477.0213944648876	-260.99309058750464	-249.26038677707982	-240.72642244653122
LL	-207.00282724842748	5.434100378621766	0.1662356848430309	2011.3009723039654	-219.1525613992501	-206.44499644595993	-197.89322404840004
PR	-43.827723121160304	1.001836283431393	0.046037838359008376	417.4395145177384	-46.10075090596666	-43.73725558351376	-42.10093330722198
HYP	1.12020622293994	2.8287450121975883	0.13904688171697738	849.9904113712564	-5.647248171001872	1.5666241834198993	5.228620472356375
