Parameter	Mean	SD	MCSE	ESS	LB	Median	UB
H_Y	-3.590728736826181	0.1620512021679748	0.00654662744370169	1182.2917523273327	-3.892933691116838	-3.598586880728395	-3.2507090170694375
H_X	-3.2886506358205776	0.1949815062685605	0.009253115776357092	888.6695980738914	-3.657166944296281	-3.2929276032531645	-2.892626458193629
Q	0.6236367918081367	0.06238427404121914	0.005595172333842094	196.37842274961437	0.5000291683587507	0.6220222614408698	0.7517722828221776
Sigma_Y	-2.398641944742533	0.07454542113117511	0.0032108391636317337	1053.148023185397	-2.531369075281273	-2.403713081462469	-2.2374491469192455
Sigma_X	-2.051844446428022	0.09299272619526981	0.004090308557451421	1066.5437609941928	-2.2235294302041	-2.0543586827877656	-1.8598820238299538
Psi_Y_1	-0.2715949028492208	0.16398355741673512	0.004015887998029767	1449.2980961814353	-0.5840222114125081	-0.2735266538333426	0.051446067288939266
Psi_X_1	-0.8681954714179166	0.15517027724620383	0.0026817445816574993	5102.656953821092	-1.1744260670709177	-0.8677423442034791	-0.5651356852577023
Psi_Y_2	0.5936511627520425	0.16335698639826685	0.00347632151019806	2684.858855916186	0.26796792424948623	0.594477655940339	0.9148550737257966
Psi_X_2	-0.7291205325240359	0.15406400992513183	0.002628924120024168	5126.253540921203	-1.0241379005916582	-0.7320950872812084	-0.422353349231997
Psi_Y_3	0.8602502706958424	0.1687032748726509	0.00346023889473026	2262.507085129767	0.5291441664236551	0.8621479989292835	1.192953959274631
Psi_X_3	-0.7957656846461011	0.15678539437318048	0.0026791699380051583	5194.275260218343	-1.0960995934720632	-0.7967882884544679	-0.4847177045987944
Psi_Y_4	0.08320158180333848	0.1657087476965587	0.003465345234883631	1901.6472299552715	-0.23576384889098034	0.08281262877765078	0.4049283657880388
Psi_X_4	-0.7939213774792522	0.15549230655517124	0.002644592511211799	5203.52475017784	-1.1012537582075388	-0.7925640890421435	-0.49345343439401074
Psi_Y_5	0.7732042018553366	0.16842203132176584	0.004005678534753471	1629.9904922404899	0.44648551953478877	0.7725910321991774	1.1007628255391413
Psi_X_5	-0.9379812372434208	0.15532722284524456	0.0026690192062228933	4986.361198614594	-1.2393262937112528	-0.9374313898681423	-0.6337894353255509
Psi_Y_6	0.8529619513864174	0.16590554833547358	0.0036741433572088983	2519.2225615711686	0.5313938783819431	0.8507640417145718	1.180135212761837
Psi_X_6	-0.6867111325672053	0.15538260176684102	0.0026857100996337223	4777.6819412238365	-0.9866790395472081	-0.687171281937162	-0.3799656791793102
Psi_Y_7	0.2784852677695933	0.16732927933223263	0.004118381999509851	1842.1831978005605	-0.03981977223458811	0.2760019694566285	0.6130723596424184
Psi_X_7	-0.8016119989478542	0.1570236114240617	0.0026620134532591524	5246.281740827321	-1.107968147733225	-0.8016352916902509	-0.49355344117542554
Psi_Y_8	0.5331898550556294	0.16799517276593648	0.003710911998601033	2171.495194541094	0.20989709669457543	0.5303062514386785	0.8719577846946237
Psi_X_8	-0.9672729902298091	0.15456418143414988	0.002730565484489058	5071.372017791132	-1.2745607281679125	-0.9656044536458384	-0.6666066602752068
Psi_Y_9	-0.15324874841697544	0.16589088007366437	0.003396463026315957	2204.5513817747565	-0.47506619385792537	-0.15536256537412552	0.17599864123924228
Psi_X_9	-0.7771798996081773	0.15334860648558268	0.002543891951351891	5280.53381039652	-1.0773052938961956	-0.7765930820799125	-0.4795147175985132
Psi_Y_10	-0.18564068863302927	0.17083746129620436	0.0044028760853923625	1475.496437367687	-0.5195053764724217	-0.18689769495843755	0.15110481871956422
Psi_X_10	-0.9196867438099109	0.15529359698457093	0.002746251900980245	4828.435993307257	-1.222758567119257	-0.92038744417124	-0.6158861156294897
Psi_Y_11	0.029190972184873234	0.16741224243309785	0.003588674076655934	1945.7187396452389	-0.2969100413622932	0.029326461268168076	0.36079662612472024
Psi_X_11	-0.8883694360939349	0.15397285872366753	0.0025132309146920543	5368.432798776676	-1.1885987449066233	-0.8878153586686902	-0.5814581980905479
Psi_Y_12	-0.40067174980070114	0.17179448128773459	0.0045119124235733065	2197.8566033922402	-0.7276346603386039	-0.40561274729179336	-0.05688703044420074
Psi_X_12	-0.8752349068141803	0.15562605220922313	0.0027229598937259826	4790.212046265425	-1.1793200793609007	-0.8764912677679637	-0.5723821121504621
Psi_Y_13	-0.4959659440338747	0.17309553982902603	0.004090384650841312	1582.342688269267	-0.8376622446091364	-0.49759388694910145	-0.15010194231905435
Psi_X_13	-0.9725045806125956	0.15642424112840211	0.0026303762690643422	5236.013645030352	-1.2742592713948315	-0.9704101435706602	-0.6653582138062522
Psi_Y_14	0.5150981667744738	0.17170085503162758	0.004073489785283153	1310.7649032135628	0.18089707115994377	0.5146027875337205	0.8581303459002576
Psi_X_14	-0.9845889353146122	0.15516556304390283	0.0025799141141576477	5298.050884910711	-1.286805840587971	-0.9852517252610022	-0.6777492401336686
Psi_Y_15	-0.5362805786478816	0.16618226981047238	0.00334561162493577	2450.94621094165	-0.8609555977919116	-0.5366588777164807	-0.21438474859717357
Psi_X_15	-0.674386241439294	0.15764229305870575	0.002688803058059416	5109.360776245593	-0.9850139829808735	-0.6735791009783627	-0.3626861407211604
Psi_Y_16	-0.7184563232644876	0.16788887231253766	0.004171810151217692	1907.802072214911	-1.0402357014340191	-0.7225343604803496	-0.38142368195712545
