Parameter	Mean	SD	MCSE	ESS	LB	Median	UB
H_Y	-4.352468620739638	0.18947401999291968	0.009409943756773688	844.0502322092283	-4.711914001446379	-4.360476771340582	-3.963480243436094
H_X	-4.216856726191132	0.2140273595544066	0.010926464899712053	744.406376435472	-4.610566918990146	-4.2281200881239815	-3.7618577726353313
Sigma_Y	-2.5613779529120353	0.07069067959841616	0.0032711935374149037	941.9624627513706	-2.6840793168083885	-2.5668156358310723	-2.4116441974395877
Sigma_X	-2.496950390506098	0.08514882940505242	0.004138831563633797	855.0038996134979	-2.639318993044995	-2.5053270023421046	-2.3064545320905863
Psi_Y_1	-0.6318689300723271	0.20567644867146834	0.0036628589518372555	4989.438914173829	-1.0339303068321375	-0.632894944151636	-0.22142761769417638
Psi_X_1	-0.5958919432818448	0.19354857720353885	0.0031922515241593354	5347.908609431792	-0.9703940957997752	-0.5995202424502472	-0.21763055593970215
Psi_Y_2	-0.34611234313639694	0.20643077059946288	0.0036405647900136567	5018.738731962297	-0.7571018112197909	-0.3441325926188587	0.05460076509764523
Psi_X_2	-0.5556980711188413	0.20314695571918986	0.004026008751256389	4260.69682208436	-0.9349042365848291	-0.5587692356717335	-0.1504169444460455
Psi_Y_3	-0.18672042987005777	0.2038562361761546	0.0035770712263024523	5269.473414498246	-0.5868897276881492	-0.18725020462913333	0.21061201969907223
Psi_X_3	-0.6798675918679203	0.19591704941913912	0.003294194192636041	5133.0595535751245	-1.0646580133477213	-0.6784077733559921	-0.29748793135336415
Psi_Y_4	-0.2899849504014804	0.20974028411474072	0.00344344885022007	5183.4870680599715	-0.7035084469347764	-0.29083636458409073	0.12097968725359043
Psi_X_4	-0.5851417020752743	0.19902732373107357	0.003605639152875624	4655.03827011166	-0.9720887897648978	-0.5874493678483019	-0.19626027170472596
Psi_Y_5	-1.0713592112663062	0.20917158213440012	0.003520410385169639	5148.11284552257	-1.4840282183650857	-1.0694239953157263	-0.6533465990939832
Psi_X_5	-0.5521003463340078	0.19453897302924777	0.003417558730337984	4952.462548751547	-0.9310368207470607	-0.5532648990790702	-0.16395941227137809
Psi_Y_6	-0.5813441541713188	0.2065476361766475	0.003557611083891769	5154.333988694553	-0.9862163665369984	-0.5794003473432148	-0.1747363675600813
Psi_X_6	-0.6712174924463069	0.1989025045337126	0.00349190891821919	4811.8953393203	-1.0601386145250755	-0.6728490400505956	-0.27091453176847846
Psi_Y_7	-0.7299059735200721	0.20349590118303204	0.0035803459938896294	5098.2233171200105	-1.1334269728337107	-0.7292488177974671	-0.33242745635006193
Psi_X_7	-0.5964405039776668	0.1977442931334472	0.0033523371322978016	5207.2012917834845	-0.9849968753448382	-0.5960731461917266	-0.20287218838078971
Psi_Y_8	-0.8212269491471945	0.20479255787372677	0.003785930522771558	4594.596689912151	-1.2213640408979747	-0.8211773049146267	-0.4154984102683624
