Parameter	Mean	SD	MCSE	ESS	LB	Median	UB
H_Y	-3.5874176510771423	0.1820937206476967	0.011899517883178086	479.92494464737575	-3.9095095649213136	-3.6013691723041714	-3.199056415321938
H_X	-3.536742824503276	0.23841565465868333	0.016563400904246583	410.0522231191632	-3.977646701048592	-3.5441127248887137	-3.048414253408005
Q	0.916916792354193	0.10457851921713736	0.008804280039200786	231.28114820102056	0.7224647255553786	0.9145940174894869	1.1282458655457694
Sigma_Y	-2.359820561218924	0.09262844462814818	0.006615644304207892	390.2509944087282	-2.5176632193324693	-2.369572825650401	-2.150161003578289
Sigma_X	-2.194106767502642	0.11434354877426602	0.007788275728739278	430.0989243413965	-2.397243329616221	-2.200723762675884	-1.9544748347912408
Psi_Y_1	0.16285703084810027	0.1801231660338879	0.003995869477430848	3015.166155415098	-0.18400322725658477	0.158957876640371	0.5189772483463181
Psi_X_1	-0.43648897267825265	0.15663243011880013	0.0026349074729583653	5137.466310117826	-0.7457879161828851	-0.436205627143606	-0.12974924267673213
Psi_Y_2	0.42253643693189064	0.18642643110979923	0.004428752122016464	2660.0880107126727	0.06436147454004766	0.4200774524360562	0.7914178558103556
Psi_X_2	-0.553382171099633	0.15647702572729197	0.0026556453714115928	5039.287537834266	-0.8685229686072682	-0.550899382332108	-0.24662089108427568
Psi_Y_3	0.775188229400016	0.1896689566003818	0.004710267733669977	2172.2053520077334	0.4103767744079278	0.7726430221837489	1.1494950038361347
Psi_X_3	-0.5081554923320812	0.1562580486157074	0.002737565409562309	4990.137882272816	-0.8122330614774442	-0.5091876254287719	-0.19942397759936759
Psi_Y_4	-0.5118986849188363	0.18752314506647072	0.0038818113061787575	2728.1834262226375	-0.877041330518652	-0.5161914453563886	-0.13075536387020964
Psi_X_4	-0.36703232301841454	0.1557051878827177	0.0027797318826574768	4776.249302960715	-0.6705147854227147	-0.3672271091510988	-0.06156689586083792
Psi_Y_5	0.3374343137788627	0.18344752691300578	0.0035021500672771247	3424.9611277381014	-0.020272974483552288	0.3358460228011815	0.7136142165456592
Psi_X_5	-0.29915729707614874	0.15749918155582127	0.002818640379830043	4710.015214592363	-0.6095614768212134	-0.29970694014275306	0.010433013992814101
Psi_Y_6	-0.10161346217075072	0.18731214801498608	0.004216608219705281	3580.8255938736174	-0.4654573121805346	-0.10318430038103077	0.270716948008765
Psi_X_6	-0.4912133566635379	0.1564133498630884	0.0026428115598635723	5159.32956920975	-0.7931057343595301	-0.4924149010975044	-0.18129456673699904
Psi_Y_7	-0.17525457540680361	0.18679796538141535	0.003407294044617534	3292.747552758802	-0.5429418607512836	-0.17696808156545057	0.19540049491902486
