Parameter	Mean	SD	MCSE	ESS	LB	Median	UB
H_Y	-3.7790426793090015	0.056285634226111915	0.0036432546964129636	426.26752845600646	-3.887299673198878	-3.779389063551549	-3.66732288661684
H_X	-4.143962899844014	0.06723455820854336	0.003540620664410485	706.9837920720045	-4.277179710794487	-4.1436491504932444	-4.013243447304651
Q	0.7527689322096062	0.022526930468287854	0.001985401399739808	228.47213566904492	0.7077242570478397	0.7530457817142995	0.7952264646141057
Sigma_Y	-2.3922239015268563	0.02657912807385597	0.0017021091188169997	370.7497326743598	-2.4430266900446704	-2.392558854203828	-2.3385519712066833
Sigma_X	-2.4313001745487024	0.02716661086916797	0.001343082348979675	780.5236688509979	-2.484411853462438	-2.4315355371754874	-2.376834683934562
Psi_Y_1	-0.25743762418257443	0.1769624515044766	0.00298329734996382	5256.880263182957	-0.600075063509347	-0.25946749498562327	0.09501390222109242
Psi_X_1	0.6146298560693817	0.19197599808057736	0.0033259440423699443	5070.91511168978	0.2360303295058074	0.6133083609549205	0.9839575049810734
Psi_Y_2	-0.6707204312376673	0.1790710859013253	0.0030999971721773186	5226.476931767887	-1.0282277283615433	-0.6685512085868839	-0.3183070257226339
Psi_X_2	0.022880790930768013	0.19279011839581317	0.003287546789983	5402.0181675704	-0.3552538739902524	0.02412711888124644	0.39514954650799916
Psi_Y_3	-0.37830775863059396	0.17873407004956507	0.003395415870025669	4437.309042468958	-0.7306954612510395	-0.37796601036364424	-0.029600112840380395
Psi_X_3	1.3229398955668876	0.19114387199838329	0.0033350609924172867	4789.5328108057	0.9511557046948234	1.3200664558942017	1.7052829851336464
Psi_Y_4	-0.10934245721375287	0.18654018135847203	0.003675968995645679	2709.421753591452	-0.4709285214260727	-0.10800377102271047	0.2559298158768438
Psi_X_4	1.8369543913878226	0.1980994010259994	0.003457304251632298	5022.181951335061	1.4492596648281626	1.8369089762325221	2.2239429452661326
Psi_Y_5	0.9035630671697905	0.17938112856731253	0.003139857059390864	5102.050848824601	0.5454221385621132	0.9042404684278058	1.2575981560524607
Psi_X_5	-1.1512670880588705	0.19437085807571006	0.003425154958059969	5170.8973228977975	-1.5307069467937724	-1.1516962448045271	-0.7690003579084073
Psi_Y_6	-0.4554283461505843	0.17960214532802343	0.0030243262385857357	5254.653132357856	-0.8140797870904656	-0.45571945856199236	-0.10297657105788027
Psi_X_6	0.7709486097139053	0.19349015094489086	0.003440577926906139	5046.519347153102	0.39033671412351867	0.7715291418003307	1.149944590363181
Psi_Y_7	-0.1758369789816764	0.17871259226728714	0.0030888362659220233	5263.86128285603	-0.5296340494565775	-0.17843049577587727	0.173746272751718
Psi_X_7	-0.8830303601657307	0.1936158436363478	0.003231641604549015	5392.771359426383	-1.2618093223700682	-0.8842300917691008	-0.5008921138229934
Psi_Y_8	0.6935533699744406	0.18066962944735457	0.003196371039578087	4741.962531416154	0.341081285335234	0.692427636827146	1.0418967250812916
Psi_X_8	0.5437341621026524	0.19211134665032326	0.003105197161386394	5523.1539628683695	0.1640677129709871	0.5436985785538977	0.9170170178836703
