Parameter	Mean	SD	MCSE	ESS	LB	Median	UB
H_Y	-2.7964644759103985	0.19589716242455896	0.00849573496818427	1025.270220084613	-3.134835944515551	-2.8119965703109795	-2.375191101563377
H_X	-2.0612656463465684	0.21487621578338886	0.011100382733560829	716.460857682105	-2.4490676712670068	-2.0717024098150425	-1.6094740139621475
Q	0.6903412507499003	0.05631837230583014	0.006175435605067925	72.98360254998475	0.5877223049551995	0.6856879776115253	0.8088454747128119
Sigma_Y	-2.100328185852118	0.09760711798735923	0.004441517160465405	973.8631656408535	-2.268588304697391	-2.1082902433661936	-1.8887192997521633
Sigma_X	-1.6871394034641738	0.10800052976801795	0.005469596052331623	741.0945491300358	-1.8835758629395967	-1.6930031311797782	-1.458967191005037
Psi_Y_1	-0.23165278351903734	0.13635591270350825	0.0029426379874189167	1869.3491329440951	-0.4962215175906803	-0.2321157369609178	0.036319236026406854
Psi_X_1	-0.6193600485614745	0.11610134406587445	0.0020254720616168344	4832.815485718635	-0.8447954886218187	-0.6183971367087134	-0.39243480830583
Psi_Y_2	-0.1724383861878214	0.13138747428842038	0.0022325020033156845	5286.566026402364	-0.4345048223324222	-0.1715541598249935	0.08402860761250763
Psi_X_2	0.11716876678888025	0.11636821705289432	0.0020551899110362692	5169.577673542618	-0.11032888595105941	0.11600651995807393	0.34471653752240666
Psi_Y_3	0.27097984862865176	0.14373856595057433	0.0037282507814146437	515.9449781893294	-0.01696061609162015	0.27231560739527577	0.5470797173280767
Psi_X_3	1.0889510571488583	0.11850317918612063	0.002003289326239388	5295.2144581540315	0.859841251681623	1.0891789159960774	1.3239137819967282
Psi_Y_4	0.4032650597291088	0.14872971621292874	0.004328359085336272	355.3024761168317	0.11837468575439994	0.4011252756420003	0.6988847524328634
Psi_X_4	-1.22440228654051	0.11741276134520666	0.0020018893874009956	5052.90330860163	-1.4526804143049659	-1.226152681297712	-0.9944541867001673
Psi_Y_5	-1.1284351933644063	0.1364504792945332	0.0023210222065905275	5109.519907093923	-1.3988380265490328	-1.1311654566251668	-0.8604547763558031
Psi_X_5	-0.10890463571167101	0.12198837932856461	0.0021000535124660125	5262.209886830033	-0.3470063700138631	-0.1082760801361772	0.1310902354284818
Psi_Y_6	-0.15172383226839045	0.13110960763601961	0.002268700349029178	4918.365937237292	-0.4080634915924193	-0.1525345549562615	0.10297487141151739
Psi_X_6	-0.10694358584179141	0.11635540702617209	0.001968465122447829	5234.500936761491	-0.33444615032429953	-0.10683493348610776	0.12215862745184655
Psi_Y_7	-0.4322444782418457	0.1523492514305273	0.005637444014937722	357.47413734187467	-0.7368971001492952	-0.4305492634346717	-0.13723601496739796
Psi_X_7	1.3565631907325102	0.11565751801333826	0.0019788390544024435	5058.824762523802	1.1314214192115024	1.3574593646088389	1.5817068549666964
Psi_Y_8	-0.3049395349243376	0.13492046769616675	0.00278212094099954	1383.806112552118	-0.5691984330035302	-0.30563557953908727	-0.0372201683029464
Psi_X_8	-0.641614945776354	0.11600251602156891	0.0018579563460163512	5430.434140747428	-0.8689830358933616	-0.6411749018881647	-0.41457518251473247
Psi_Y_9	0.7799269179632221	0.2109438388066941	0.01630621479268378	160.39499702573337	0.34425902646280965	0.7889721239763372	1.1652619723755242
Psi_X_9	2.923460540845531	0.1162184490919934	0.002034700387309812	4903.02747046229	2.692296180256202	2.9238439527980575	3.1527367088181224
Psi_Y_10	0.29472689399774643	0.13207808586962796	0.0022864165359665254	4924.2261042519085	0.036964617007175724	0.29354273249597823	0.5576438897803287
Psi_X_10	-0.2247568718626255	0.11575024493597058	0.002051743426806568	5120.667215044484	-0.45398942412171006	-0.2232479425260216	-8.421597728466124e-5
Psi_Y_11	-0.9148749203729141	0.13335734188970347	0.0022885000529120226	5083.120375562945	-1.178148136311979	-0.9135959269368856	-0.658719332234822
Psi_X_11	0.10469891658292575	0.11809309272164187	0.002179260130408308	4961.125782904632	-0.12377894890709745	0.10546000713243787	0.33656856204681646
Psi_Y_12	-0.026361067057239982	0.1400574409544002	0.00329602188884877	1269.5158007030068	-0.30193539345290393	-0.025381274037126332	0.24834901168407134
Psi_X_12	0.785514841779894	0.12060027827589898	0.002028540497399181	5166.858056262615	0.548840112271768	0.7858750867888293	1.020381962291774
Psi_Y_13	-0.26140715202127396	0.14180358243506797	0.0031108882533366676	1274.5382726632884	-0.5405827624623436	-0.2634475952876642	0.01936278216695215
Psi_X_13	0.7858575483715091	0.11747041660014323	0.002020265965517903	5191.494418367274	0.5527019043512028	0.7869945205826909	1.0146456884435486
Psi_Y_14	0.9545894791641198	0.1451368566603889	0.003709168222204626	501.277670645598	0.666754873316404	0.9559075024350583	1.229552606318477
Psi_X_14	1.0450153946895115	0.11772518568567726	0.0019484525728360054	5242.153429297215	0.8122225111859595	1.0442293611874776	1.288008383219188
Psi_Y_15	-0.6534657680017069	0.149448912469649	0.004707508610810696	412.9565432966332	-0.9554764106551416	-0.6516665238930299	-0.36829917506113957
Psi_X_15	1.142731387570462	0.11650737962633002	0.002007698085859365	4914.041254964642	0.9150616776391449	1.1450528812504475	1.3691138544176331
Psi_Y_16	0.17000005329951806	0.13265605028099076	0.0022166887464902586	5291.779682253882	-0.09095957446225061	0.16960712192000757	0.4254481680708801
Psi_X_16	0.04725488486204436	0.11817024993098388	0.0020517805076308336	5132.552344573941	-0.1843933984017197	0.04788151043962873	0.28226612273370494
Psi_Y_17	0.0519407851261461	0.1306278788029218	0.0022391605502040048	5132.080121030352	-0.2036728408963016	0.05159793596508952	0.3034844188816191
