Parameter	Mean	SD	MCSE	ESS	LB	Median	UB
H_Y	-2.9382788139957383	0.06203634083726659	0.0026223438189464936	841.5550001382012	-3.053850094674119	-2.9399150658335538	-2.8130009859953207
H_X	-3.1086684307911066	0.07099695477433328	0.003681343706406212	815.6964461910418	-3.2459526484365226	-3.10955781173143	-2.9663690034033476
Q	0.6945567405442998	0.020193764173128417	0.001914134423174535	161.35778583473032	0.6567252747709065	0.6943906784582736	0.7350393154307745
Sigma_Y	-2.0283830817427413	0.03156511462624045	0.0014714236251825242	606.0658895544539	-2.0875871201783047	-2.0287850296545553	-1.9652926950700975
Sigma_X	-1.9862933210179456	0.03483863667313574	0.0017813813724692684	829.7464723652523	-2.054067651684291	-1.986764882730249	-1.9161994953829948
Psi_Y_1	-0.2296533891275892	0.15181255259636572	0.0027766469097829515	4587.777614447214	-0.5238309648940522	-0.23033301745824686	0.07201722944019043
Psi_X_1	0.6225231542783349	0.1489450721060365	0.0026619880084635555	4973.454872019517	0.3351805337749504	0.6229702407078522	0.915442911220872
Psi_Y_2	-0.6882698242231047	0.15546480328718762	0.002675347920297224	5116.118562505714	-0.9905729669886654	-0.6886563671992864	-0.3839212434791507
Psi_X_2	-0.016197502755142958	0.1497826279309711	0.0025021161638968522	5336.862402382677	-0.31284101821685734	-0.013336403764723864	0.26941530924173723
Psi_Y_3	-0.3006678500221063	0.1525367421662217	0.0026556303162041995	5087.742522376915	-0.6059361473910444	-0.30039554797033896	-0.0016261826048337678
Psi_X_3	1.3314568273985494	0.1492688725803582	0.0024714551533416207	5234.523639291123	1.043827060562074	1.3286924087356367	1.6293900303398516
Psi_Y_4	0.035920517351181604	0.15689344116535062	0.0032179556938300245	2417.981755274834	-0.2757477520654775	0.03641758996989937	0.3375824728136907
Psi_X_4	1.9186167091142434	0.14753499521080055	0.0024848091810361246	5206.485717375745	1.6316998416454505	1.9195455952796614	2.21367995694614
Psi_Y_5	0.8660906354461542	0.14923778621759917	0.0026805662767843447	4867.040385563379	0.5713827078578373	0.8653676705994804	1.1588311318430262
Psi_X_5	-1.1387944754647534	0.14910470399423795	0.0024839500359216883	5202.237261598522	-1.4267187000750658	-1.139930650586785	-0.8449702750975834
Psi_Y_6	-0.4147139724836337	0.14845112625836077	0.0024067575327253003	5529.431018060978	-0.7066120935251018	-0.4139244097593936	-0.1266809262577388
Psi_X_6	0.7675862933415968	0.14930686671102109	0.002590220947331257	5124.719442843309	0.4726861627846111	0.7676745870105924	1.0596122816182132
Psi_Y_7	-0.2287782049592093	0.15051204367867982	0.0025632870822432275	5226.643165742476	-0.5190605468050616	-0.22689609074135458	0.05999753258963574
Psi_X_7	-0.6141307990845672	0.14980088625297852	0.0024986303264772137	5325.166451284571	-0.9102187521940615	-0.6144814766533587	-0.3205749962380043
Psi_Y_8	-0.17165138850299602	0.150565012604567	0.002583773824191136	5106.635821137171	-0.47312708404879333	-0.16983827503059784	0.12236523275463482
Psi_X_8	0.1124313765877023	0.14924619990795143	0.0025471561119091504	4973.304670216482	-0.17647624794835204	0.1120313345371975	0.4063800150641564
