Parameter	Mean	SD	MCSE	ESS	LB	Median	UB
H_Y	-4.450017287708597	0.05774347488119347	0.00271053277672843	942.5210697935979	-4.564866911359485	-4.449271977339546	-4.339812289883196
H_X	-4.227164211860998	0.06493177794438038	0.003256039360556998	739.9244328695495	-4.353017679691563	-4.22832353983757	-4.096583204753159
Sigma_Y	-2.566149823123652	0.020315701906935147	8.645519998241163e-4	1175.7851513932549	-2.60582484925937	-2.5661093772089227	-2.526261774850999
Sigma_X	-2.4977398781698974	0.025152586986567485	0.0011892678311113225	802.361782802889	-2.544791841815656	-2.4988286727031372	-2.4463556922099703
Psi_Y_1	0.21759079203412127	0.21675172313671706	0.003607470187338694	5164.61221516956	-0.2161820449723212	0.21785661313417137	0.6395113710240674
Psi_X_1	0.5896522681846533	0.19674217962234422	0.003204637235438491	5369.167609405405	0.20424571513703793	0.5891700385197912	0.9703921065489568
Psi_Y_2	-0.6469658913225639	0.21873276988212223	0.0036236180126588387	5335.340063286506	-1.0767910567362293	-0.6465704592513621	-0.22120415068236968
Psi_X_2	0.0025860090393858373	0.19719794779700647	0.003227612231539583	5344.401925849605	-0.3814967802503476	5.21450559748041e-4	0.3909780177453428
Psi_Y_3	0.6095990550712833	0.22101024433168445	0.003734778779293261	5238.788605446044	0.18548128491721377	0.6084615094491499	1.0427800323069243
Psi_X_3	1.3209524924400182	0.19555779552369745	0.00329599555784238	5323.0253048441355	0.9364135211927125	1.3225532547203052	1.6995946765544863
Psi_Y_4	1.2683933814643555	0.22129029598162261	0.003903015449081682	4961.130818325944	0.8273948301592352	1.2686635602372092	1.706832297528062
Psi_X_4	1.8460908749483038	0.19701437081155906	0.0033873976925800175	5183.256890122777	1.4623931171584492	1.8470447424997902	2.2328595716032527
Psi_Y_5	0.027694292001872064	0.21965899610354858	0.0038111697022176674	4942.159444739271	-0.40459501670696735	0.030320709922081926	0.45872498898284386
Psi_X_5	-1.140138021168133	0.19623092700983583	0.0033167187794725184	5234.863622204427	-1.5225250668194277	-1.1401202186187578	-0.7551346854382376
Psi_Y_6	0.11991227714772125	0.22009910480861003	0.0038384265187639925	5105.30577863798	-0.31059847420247544	0.12043308825566784	0.5455628814017504
Psi_X_6	0.7723458351417639	0.19601133395087747	0.0030878576985797317	6229.3116600171115	0.38459390095615464	0.7738350570326005	1.161301755900959
Psi_Y_7	-0.821638391223198	0.22021503680318766	0.00395635279422188	4728.8601744066	-1.258402652621381	-0.8220832712716836	-0.3895376258929182
Psi_X_7	-0.8685046300242808	0.19969473454126357	0.003462615318055304	5204.678854020071	-1.258727749099471	-0.8695532773427307	-0.48148579501545785
Psi_Y_8	-0.6263855798421144	0.22112473865665638	0.0036927147677575972	5253.398274748275	-1.0541683899554293	-0.6240345766073421	-0.18936978755347442
Psi_X_8	-0.5969437237213298	0.19503603390037327	0.003119937421634668	5496.1202115997485	-0.9772257000470913	-0.5978731185470862	-0.21515037893604044
Psi_Y_9	-0.04758546581974098	0.21496527201483703	0.003483503446739146	5382.929131765988	-0.47111801230344347	-0.048359152107354496	0.36907441911962086
Psi_X_9	0.12005935599843189	0.19406850211656163	0.0033604313527896665	4920.463298860424	-0.255442164040802	0.12005154725063469	0.4967232974685654
Psi_Y_10	1.0761068322466794	0.2198157393535524	0.0037391209426232037	5247.430343697257	0.642540837751594	1.0789830900319068	1.5116145110945816
Psi_X_10	0.5539540524423837	0.1938783812775683	0.0034128850605228264	5002.227533053125	0.1809421271695293	0.5532974028251922	0.9344392138073325
Psi_Y_11	-0.8902916065392147	0.2295126118692026	0.003873207138618284	5165.160565245472	-1.3435463105535352	-0.8875163917122284	-0.4455060504669752
Psi_X_11	0.1339900683456031	0.19826861785706557	0.0032479395687318707	5404.452809390877	-0.26143663360063607	0.13539427806225374	0.5221434334013938
Psi_Y_12	-0.3482894777528956	0.22198194866845408	0.003927077022359924	4862.097917056566	-0.788504347674013	-0.34895951517716856	0.08746173180680653
Psi_X_12	-0.5622418785044758	0.20042845153085553	0.0034060071558661364	5104.991407069212	-0.9527085856678288	-0.5601594501510314	-0.17049099663916295
Psi_Y_13	-1.08234744124322	0.2220138347829014	0.0037775402070197254	5016.166448906124	-1.5201339770138897	-1.0847601439449883	-0.6500634171295387
Psi_X_13	-0.19440293591572574	0.19520855135487794	0.003454885979729846	5184.399980386699	-0.5781875968641934	-0.19472175105557818	0.18755191038448135
Psi_Y_14	0.10162038947176956	0.21608116737710845	0.0036234612449871743	5284.844625501461	-0.32384956820168614	0.10027862779275748	0.5193587911763627
Psi_X_14	-0.7370974210922334	0.19468647200969605	0.0032568047242345624	5081.510396411073	-1.1165358823445473	-0.7360963641767222	-0.35075723273581627
Psi_Y_15	0.9924726842927941	0.2172961707870431	0.0036962279895186496	5162.218663704706	0.5647025680402321	0.9911597547484939	1.4176530600755899
Psi_X_15	1.0544837952680928	0.1947192501660053	0.003274222461096095	5194.9402903890505	0.6690567381302535	1.055540962650411	1.439785279806132
Psi_Y_16	-0.36503091429147094	0.21796495955621456	0.0036611481290067696	5319.303522422677	-0.7984080213787609	-0.3632589374406497	0.05857833959619505
Psi_X_16	-0.3712717612705201	0.1961536100798016	0.0032487839446005006	5155.46961139042	-0.7504854872627328	-0.37139199599762374	0.011989912428660284
Psi_Y_17	0.35384722477653185	0.2172225037333416	0.003577463907002722	5309.700982308491	-0.07442378603239759	0.35435948709108267	0.7841928764596693
Psi_X_17	0.27980110948995907	0.1955440050917188	0.0033531638629275312	4994.806862954619	-0.09754417826421145	0.27881807384775115	0.670750097796348
Psi_Y_18	-1.390942787663136	0.21856984354521558	0.00366675759800579	5357.944424982622	-1.8258997891524518	-1.3882300462585306	-0.9664193876472642
Psi_X_18	-1.422240589725733	0.19707142383272808	0.0032419794227442978	5407.00388033857	-1.8155725325526348	-1.421101181047265	-1.0419073196977338
Psi_Y_19	1.7517125120597328	0.21648372459000725	0.0035634684631961496	5295.412053206449	1.3309557211853105	1.7540378588715164	2.163997571484541
Psi_X_19	0.710231039252556	0.19399141659037603	0.0031450297189125538	5439.919786395572	0.32355699961871925	0.7098700958857282	1.0850924794677288
Psi_Y_20	-0.18540234303437708	0.21554916139365596	0.0035316925736416558	5468.435809259798	-0.616260939686205	-0.1846626306445221	0.23138965723162871
Psi_X_20	-0.6822557458312477	0.19459732225785262	0.003273164555473457	5305.425733192721	-1.0627904316816756	-0.6809617623225754	-0.3062643612314425
Psi_Y_21	-0.09621571729916545	0.22089560586739515	0.003706107754168154	5124.142474450779	-0.5321322354272238	-0.0961859005970639	0.33961329390724415
Psi_X_21	0.647342308604542	0.19722659588863853	0.0032094133983905913	5437.592574854474	0.2654883111983547	0.6476419030647883	1.0339011447869129
Psi_Y_22	-0.048557138085332505	0.22114691454004679	0.0038637281640809327	5048.751519740248	-0.4739600531514356	-0.052717704780467056	0.38999948721534283
Psi_X_22	-0.08758686256308965	0.19800518400180872	0.0033796970277947267	5198.091087252036	-0.47510804614466895	-0.08622490628737686	0.3075337326814204
Psi_Y_23	0.3475112185801004	0.21815531253312587	0.0035714860004004904	5291.617678718401	-0.08274206024906625	0.3463255222791517	0.7807031520607747
Psi_X_23	-0.750594537919057	0.19712714803233067	0.0033163360266036377	5134.746280941042	-1.1353008863202567	-0.7498379322239568	-0.3573768613872997
Psi_Y_24	0.6608376118757889	0.22119544039581687	0.0037641598517784603	5266.73194792798	0.22627482839215568	0.6620781502623454	1.0954505674269317
Psi_X_24	1.2374790791933539	0.19704633379937647	0.0032406730424771636	5270.938710131598	0.857401683340655	1.235647756505851	1.614700084679191
Psi_Y_25	-0.08412338394579412	0.21838966125295584	0.003563952235729434	5356.752148050307	-0.5111539413324059	-0.08369106573509043	0.3427807191546856
Psi_X_25	-0.08316840597972808	0.19850792777493015	0.0034949429815264352	4932.609202449892	-0.47414762975291663	-0.08397419537135709	0.30568204328604337
Psi_Y_26	1.3275817879517788	0.21927254920291767	0.0038996999417204342	4389.602131832704	0.8994660668536629	1.3289048489466695	1.7545541803893012
Psi_X_26	1.0541441343669358	0.1968325495300251	0.003367507173979683	5034.629858645683	0.66523919553991	1.0553416241094205	1.4362877531291443
Psi_Y_27	-0.39888734338491894	0.2172301787430042	0.0035889855301755313	5349.647104353937	-0.8285397056379478	-0.3951965246822068	0.02364511753279075
Psi_X_27	-0.7621893038509285	0.19706438234721668	0.003345499807464719	5104.305492992254	-1.1513740241478303	-0.7638529065865172	-0.38478596803734577
Psi_Y_28	0.23643505119725472	0.22164700420796374	0.003837613132877864	5069.2945135527225	-0.19106944262671183	0.23524797336997982	0.6747320370423421
Psi_X_28	0.08825583544970945	0.2023538022904398	0.003473437940059317	5114.121774630157	-0.31567110664932874	0.09085380803797077	0.4808981419329772
Psi_Y_29	-0.2511622743565802	0.21931517484883195	0.003705212677432476	5186.250511310725	-0.6775950678008287	-0.25164820948607114	0.17591987120708746
Psi_X_29	-0.4385275756859791	0.19631336357696036	0.003314748994620686	5268.096041447866	-0.8334950712830582	-0.4369682493813213	-0.06306757934266936
Psi_Y_30	-0.11120045252000635	0.21853739405427042	0.003585585056266688	5348.975941793052	-0.5387026231156448	-0.1116125787199719	0.31258606540149547
Psi_X_30	-0.5730640127764591	0.1936956451816978	0.0033849491573201447	5076.161727204242	-0.9566125429164695	-0.5730885167799783	-0.19009761715426818
Psi_Y_31	0.5255285816015185	0.2202080944446666	0.00373962594317542	5188.2537161681075	0.08725341746728972	0.525374877647972	0.9517291941359834
Psi_X_31	1.6952173694684871	0.19487217198872864	0.0032128508093047896	5243.26125172242	1.3084198262751712	1.6999352091326334	2.0740339495193374
Psi_Y_32	0.18246416043304725	0.21874265450432756	0.003913253355490555	4873.412091363114	-0.23972794616104148	0.17813313462322417	0.6150639946100174
Psi_X_32	-0.05476214790625974	0.20149708740899255	0.003362144821443528	5344.499302622876	-0.4368894735991338	-0.05731214853569914	0.34554902366420953
Psi_Y_33	0.3552029118797074	0.21520978638694233	0.0035365333628107534	5404.209245390269	-0.06131459463522568	0.35516012744285685	0.7825187476890162
Psi_X_33	1.0667660258201175	0.19445906616794487	0.003327105613477899	5183.970688473032	0.6881385606712518	1.0662558892471603	1.4451742354012276
Psi_Y_34	0.3155474377922686	0.2206561273310006	0.0038892933237613756	5150.174544065123	-0.11882013161548095	0.3161884511866157	0.7518249829326464
Psi_X_34	-0.5494209701197008	0.1957474157136745	0.0033547947426717344	5132.5342898869285	-0.9286758233242557	-0.5492188013118593	-0.16587976024035148
Psi_Y_35	-0.4468861171619036	0.2166159460204328	0.0038652398998165077	5120.186028717602	-0.8753388459481196	-0.4466328753957	-0.03203460331603188
Psi_X_35	0.3433871052859216	0.19782377536792556	0.0034062908374014973	5150.379146009889	-0.044309163282732676	0.34425575961072985	0.7264425325816112
Psi_Y_36	0.43952906269176795	0.2184585505806429	0.003737251735983265	5140.711063865549	0.003956530109315884	0.4385824229839338	0.8637628730289801
Psi_X_36	1.1101523830145719	0.1949810968269391	0.003419148356841121	4838.758709612089	0.7318820167292762	1.1090272306037208	1.4982439115349537
Psi_Y_37	1.2255252639269372	0.2208057295433288	0.0038192005987525	4919.163183840894	0.7898451396042042	1.2260792979038353	1.6599465727528628
Psi_X_37	2.1388733466135657	0.19422801279108712	0.00323461670621457	5370.25379463828	1.7545070765659092	2.1366065270479417	2.5212184702029115
Psi_Y_38	0.1297123634253755	0.2200265063926032	0.003735553376240704	5261.803658492487	-0.30240970293432	0.13068830700083678	0.5586911676588989
Psi_X_38	-0.13571965929358318	0.19714060538890413	0.003258483656226376	5344.2395842564565	-0.5255367211663412	-0.13681539367129536	0.2501929371948894
Psi_Y_39	0.16774917577641535	0.21952058837490482	0.0037365094897549617	5077.813536547333	-0.2626794522539836	0.16748509825560792	0.6013338577764101
