Parameter	Mean	SD	MCSE	ESS	LB	Median	UB
H_Y	-3.26767308532963	0.058911375738109284	0.0014834412021953688	2702.34706729694	-3.3802446403260342	-3.2690388318085715	-3.1492727557690188
H_X	-2.9520485073610945	0.07900178318829493	0.0017455479534084998	3311.471145610286	-3.098648977949571	-2.953730842183365	-2.7898678610217265
Sigma_Y	-2.041840366211984	0.027755933776439545	6.583848499256062e-4	3016.627161730209	-2.0950113873201888	-2.042461696642131	-1.9860666962416764
Sigma_X	-1.9058395752387929	0.03828748067412392	8.22545462455093e-4	3480.1518170572026	-1.9765261880388016	-1.9068393525406444	-1.8270395757686946
Psi_Y_1	0.19889822743850324	0.15810911069626044	0.002688930466489854	5211.411748982309	-0.10792639363709469	0.19895252682925296	0.5094402240255232
Psi_X_1	0.6219106511604966	0.1486779507806092	0.002461984892741704	5426.340778691343	0.33016894271421193	0.6216460753232029	0.9134032147357404
Psi_Y_2	-0.6996874631531278	0.16177296486041193	0.0026872801254959316	5291.085806223321	-1.0107779593138475	-0.7002099805766824	-0.37876833664841036
Psi_X_2	-0.019787169226430236	0.15200405652848187	0.0025965151957398664	4995.853131692004	-0.32004453772999814	-0.01990388702767356	0.27553793881527816
Psi_Y_3	0.6124654965054548	0.15902837497581956	0.002672971894667139	5219.956786256953	0.30202381200892603	0.6100245025404487	0.9297362128728103
Psi_X_3	1.321169672181229	0.15329229422138893	0.0025359532498150077	5226.726308327221	1.0244816865253825	1.3193490853180367	1.624268905809392
Psi_Y_4	1.3551826911924307	0.15990573643195563	0.002711881657220109	5301.9222903859645	1.040420866931879	1.3531518188960372	1.6646758631549625
Psi_X_4	1.92308017574264	0.1513716525816458	0.0025898277960743296	5171.373548528849	1.6228664681449176	1.924700891770704	2.2167877132079896
Psi_Y_5	0.07179205327638818	0.15751146885845616	0.0025566510804285385	5577.54111559058	-0.2382399151653512	0.07036376054087354	0.3842897923581342
