Parameter	Mean	SD	MCSE	ESS	LB	Median	UB
H_Y	-3.5033432991677365	0.063222788001179	0.001772645532418307	2223.260623000851	-3.619948041526447	-3.505021936668732	-3.374876519929107
H_X	-3.0829142233720033	0.09090383126672998	0.0020475477276423668	3257.6173118154156	-3.2543020191252907	-3.0851208695666434	-2.896349747115001
Sigma_Y	-2.1579953688415703	0.02929519185650404	7.781140956886801e-4	2409.6294409941265	-2.2118636644247935	-2.158912789867475	-2.097697956836473
Sigma_X	-1.9721398817425266	0.04421991860382089	9.7719785909388e-4	3385.798264337348	-2.055205390603475	-1.9735162329578309	-1.8807910452184606
Psi_Y_1	0.20627353358281855	0.15862695331288668	0.0026057325111440107	5410.52942152616	-0.10622250438079565	0.20565660496060678	0.5121796416191294
Psi_X_1	0.6163313881864638	0.15074901595244755	0.00261624938607039	4988.917096279463	0.32800699807725975	0.6158292648060506	0.9161109664246601
Psi_Y_2	-0.6908191606460137	0.1629274175067361	0.0026607722991419547	5373.554563804961	-1.0121331451994964	-0.6912313222913997	-0.3747697790472138
Psi_X_2	-0.022718452466537836	0.14900481350466618	0.002646998817160548	4983.915590493023	-0.31030964666671973	-0.02411336556113914	0.2698191334108434
Psi_Y_3	0.6239989793101117	0.1617750754478369	0.0028064080624849853	5041.036184772451	0.3137665780270661	0.6230575285175869	0.940441447052733
Psi_X_3	1.3213529029256965	0.15026018287667864	0.002449568176796669	5295.22067365451	1.0237079732170191	1.31881078490683	1.6196644065105164
Psi_Y_4	1.349806193864283	0.16469885214717503	0.0028722336036015755	4709.683342032434	1.0228850331868637	1.3505357133158218	1.6722215584537858
Psi_X_4	1.9300925746942235	0.14716049121421895	0.0024482752465092494	5281.41496906884	1.6370291869785643	1.9292238974247744	2.2204490304687017
Psi_Y_5	0.06879146648672099	0.15886631125946113	0.002655744760285174	5195.579014018568	-0.249078504237939	0.06829811918117254	0.37804851201902573
Psi_X_5	-1.1404697725416066	0.14862763065024073	0.0025681948222935334	5135.476433247554	-1.4282663861451517	-1.142100007232008	-0.8477704218910007
Psi_Y_6	0.11953448986319189	0.16025868813117639	0.002636330117132307	6090.306214134402	-0.19039169914216905	0.11979413390885617	0.42627437166837057
Psi_X_6	0.7726837343325962	0.14772787544569163	0.0025792199655912474	5112.620014073255	0.48178271031252456	0.7721756005590351	1.061124609888807
Psi_Y_7	-0.7855646829026363	0.1574868639258894	0.0026041446692044805	5624.006627857935	-1.0951683267484995	-0.7850108205031523	-0.47595975289139025
Psi_X_7	-0.8557657381804031	0.15230270377482422	0.0026047990282219435	5129.295979860912	-1.1557622077562195	-0.8561223652643565	-0.5549299386585118
Psi_Y_8	-0.6450365250505063	0.16055603080614408	0.0026606735084157888	5073.391298129326	-0.9637200531825897	-0.6474783724573353	-0.32955717029288695
Psi_X_8	-0.6138368839455746	0.1460493066613205	0.0023243998934306845	5791.7310809239825	-0.9019484486217814	-0.6134595827539646	-0.32519019584379494
Psi_Y_9	-0.07756053157327389	0.1597365053196435	0.0027541206819455336	5164.887450434609	-0.3866879791950119	-0.07722201702688308	0.24509375417868223
Psi_X_9	0.10488224780223908	0.14802824444044732	0.002500731320403136	5476.652283370067	-0.19208915174648683	0.10585370178769646	0.39462739513479483
Psi_Y_10	1.137195227752009	0.16039161573171135	0.002635995658364774	5388.076240969507	0.8283704045847693	1.1378940314389827	1.4530128645096445
Psi_X_10	0.5804625556486466	0.1457964029138138	0.002450289900896786	5286.903412131004	0.29759831594481084	0.5801060401882273	0.870777018754626
Psi_Y_11	-0.7812876522130138	0.17010963835093093	0.0029866707420037825	5068.164681359885	-1.1219073773044461	-0.7796830265521201	-0.44940831563154726
Psi_X_11	0.09444716080321643	0.1505385246915749	0.002393909307168266	5494.614320667569	-0.19705102237196126	0.09359796575180485	0.38253615861145546
