Parameter	Mean	SD	MCSE	ESS	LB	Median	UB
H_Y	-3.8119470704669975	0.05170874871327309	0.003092304059032354	571.0653638293576	-3.9093204936382917	-3.8129279341581817	-3.706051511982456
H_X	-4.094009899408508	0.06424272782311678	0.0036470361536911113	604.9871910893285	-4.221113467836738	-4.095318244309539	-3.9671980890675584
Q	0.7428642539954003	0.021046443843946775	0.001793947805900439	199.7033158695112	0.7025348918279057	0.7428567543095852	0.7838504431006723
Sigma_Y	-2.43014463659667	0.024027656989856153	0.0014913053296824817	493.1027156212789	-2.4746823383157603	-2.4308355466200515	-2.380210157718262
Sigma_X	-2.4445876409421907	0.02651063159584718	0.0014431229401961835	677.1900603137703	-2.495221077534011	-2.4454396907252556	-2.3913723542717555
Psi_Y_1	-0.25030581186667245	0.1753030402448136	0.003186674196117321	4666.93828954048	-0.590521397620263	-0.24914740979514727	0.08868299911491777
Psi_X_1	0.6149902354157023	0.18320058994422983	0.0030077537356575047	5402.9301705255975	0.263070754437509	0.6136731923989436	0.969499767662667
Psi_Y_2	-0.6754831114793339	0.1785831384229173	0.002985315828820063	5306.577197719643	-1.0306596799504977	-0.672111957900957	-0.3317516992754468
Psi_X_2	0.01187756436810042	0.1830866527543782	0.0031646984238647585	5130.455701059924	-0.3468677122912167	0.009091948694579804	0.37261493529245937
Psi_Y_3	-0.3634443115877285	0.1794678395498058	0.0033482789122280918	4190.711619369433	-0.7168849742750343	-0.3634857488246972	-0.009714002145771216
Psi_X_3	1.3257801383149654	0.18143102552646612	0.0030145027752966087	5431.547819157911	0.9740409758874408	1.3254859182174699	1.689186902723906
Psi_Y_4	-0.0812056482064423	0.17876661682635786	0.0034820313196727033	3761.4347723031287	-0.4305348408628713	-0.08143799803248383	0.2721044599573566
Psi_X_4	1.847520608448975	0.18224267129764324	0.003055036972318167	5207.493654078824	1.4866825759642053	1.8489196329887245	2.2061927747457815
Psi_Y_5	0.8937915230470705	0.17396320505770352	0.0029368148033722236	5199.850692025057	0.5579324748915037	0.893423172013238	1.2361405187768093
Psi_X_5	-1.1541655488700915	0.1843001526439081	0.0032954474836629608	4726.474370978767	-1.5165563933730395	-1.155314556336056	-0.7978251161720028
Psi_Y_6	-0.4483118302819725	0.17726947529533374	0.003010518821297209	5265.359647631052	-0.7986276595346852	-0.44526370261070913	-0.10544740393863324
Psi_X_6	0.7682222965040179	0.1848245991129202	0.0034032511664814713	4547.194421949599	0.41092625038265085	0.7673439836988962	1.138364264240604
Psi_Y_7	-0.18543314748653078	0.17357933993323507	0.003106520597310753	4764.30759115073	-0.5280968882404768	-0.1843650020225882	0.15968146102152028
Psi_X_7	-0.8873281603213453	0.183365674522049	0.0030298455220941476	5361.751692576945	-1.2453838557221226	-0.8871262044583186	-0.5276585233221561
Psi_Y_8	-0.18578896426050648	0.17551551439038846	0.003161074737994606	5018.307665926744	-0.526462427674046	-0.18417275362785912	0.16052527293194419
Psi_X_8	-0.6023764139380225	0.1828237686980219	0.0029772664735141694	5292.78868290827	-0.959630431760574	-0.6012619332785138	-0.24746261252833682
Psi_Y_9	-0.15643213298876021	0.17914255256139802	0.003187866247298817	4703.031937956184	-0.507909572217291	-0.1570638218402814	0.18891879492523042
Psi_X_9	0.13371883611300328	0.18429309841897845	0.0030584246063175783	5231.274380841767	-0.21845378834981796	0.13257578871745676	0.5047193357806313
Psi_Y_10	0.692861440442572	0.1784461413588144	0.00302905795670738	5223.575573091057	0.33600771789847783	0.6932007651538508	1.0425867384170424
Psi_X_10	0.5514704887576992	0.18315122250717555	0.0030122024428382507	5340.421725049309	0.19463764066979627	0.5486352325803014	0.9162022475504712
Psi_Y_11	-0.8560578206050002	0.18185047547033467	0.0030052641699438807	5408.5778686335325	-1.2043846179610032	-0.8563858884337775	-0.5052494895841779
Psi_X_11	0.020872562445151618	0.18646986780316768	0.003166226156484892	5063.507250339963	-0.34325366901483206	0.022212922258286288	0.37874684136537573
Psi_Y_12	0.1359227749080881	0.17604762857214545	0.0029626086439230744	5158.509183891216	-0.20980098616211082	0.13699776307950404	0.480428157475221
Psi_X_12	-0.6114581296325372	0.18501061574440328	0.003110851362546925	5364.41054367752	-0.9772435581564541	-0.6106811035128243	-0.24843128207178342
Psi_Y_13	-1.0013542471021741	0.17393435830264475	0.0028254805005841275	5276.681630088562	-1.3411813184968615	-1.0010973770635108	-0.6564695218967997
Psi_X_13	-0.17225000895665243	0.18208904400902812	0.0030676835552396757	5163.46661225017	-0.5247103240401036	-0.17420282447028065	0.19351110643573147
Psi_Y_14	0.66732372512999	0.17428036701190922	0.0028946128128778275	5169.5803319976485	0.32607144147003875	0.6665788728012871	1.011273664798383
Psi_X_14	-0.747444006222448	0.18258435693994562	0.0031090928093083776	4996.354703410158	-1.0995493054179608	-0.7491260962882924	-0.3827580991684196
Psi_Y_15	0.21382054834041084	0.1731275446856951	0.002863577999851286	5333.1672619091505	-0.1254166871336117	0.21647807792606427	0.5507758921693884
Psi_X_15	1.0705649587933406	0.18177071154553953	0.0031851359373104475	4930.312957816728	0.7129657993852275	1.0692684944538637	1.4304018374824765
Psi_Y_16	-0.10078353517009835	0.17624351937501007	0.0029637220207776485	5288.870767741085	-0.440523251368087	-0.09889550683036771	0.25066360598906196
Psi_X_16	-0.3722856671737102	0.1870509926032999	0.0031668520769472536	5068.788835964418	-0.740433141637556	-0.37066729874863474	-0.009221865966833317
Psi_Y_17	0.1982622021704987	0.1759901604553707	0.0029574156345840465	5010.328451683313	-0.14924356518904414	0.1998564059903674	0.5446331365713575
Psi_X_17	0.25138116790857545	0.18454959259217196	0.0031257124010006182	5124.38500918824	-0.11392591630916366	0.24983878217264308	0.6169213721505262
Psi_Y_18	-0.3140218785611271	0.1777740201259481	0.0033966036777877055	4352.946552891801	-0.6592643075077208	-0.31422894559099973	0.03727762027608295
Psi_X_18	-1.4519013608627522	0.18251359425638758	0.0029399044366281058	5377.6565738148865	-1.8049984000659298	-1.4541494542508187	-1.0908239603158925
Psi_Y_19	1.2554294913814112	0.17464133874961102	0.0030385775982253774	5100.748131072087	0.9080073497117374	1.2568552651392033	1.5969283165769466
Psi_X_19	0.7171267921018856	0.18190765024478137	0.003085827713069849	5449.425422006256	0.35684980153299495	0.7192896934777673	1.071062012390532
Psi_Y_20	0.3091414353212726	0.17604293955142813	0.0030156952810954057	5117.475315351103	-0.04106756733101899	0.3066958098594985	0.650249305981631
Psi_X_20	-0.6817171430943805	0.1850234473146224	0.003028847038949517	4888.476667537128	-1.0453384247405064	-0.6816640321233769	-0.32384255998163186
Psi_Y_21	-0.5915292857225104	0.17752438129792011	0.002994414405550469	5135.639558762951	-0.936935149124984	-0.5942886308274491	-0.23494983583832468
Psi_X_21	0.6609744359460852	0.18292651622309847	0.00312819197924116	5204.382749011482	0.30801581125365024	0.6597767160657191	1.0149056369612304
Psi_Y_22	-0.0017240320584406784	0.17613320751537054	0.0030239698071680365	5214.743634126466	-0.3508425091735113	-1.962135756335727e-4	0.3413241278929674
Psi_X_22	-0.0726698777592682	0.18653412484352677	0.0033126187071400126	5156.44854982498	-0.44970053509884705	-0.06944460338606395	0.2912777940968561
Psi_Y_23	0.9625280054273426	0.17396263736658826	0.0029733863697477855	5121.469843186437	0.6226937857771937	0.9646717872789257	1.3040195625329698
Psi_X_23	-0.7866939913028309	0.18527834756235637	0.003069811708437151	5351.392607083738	-1.153548899807822	-0.7842157717235729	-0.43243245643465217
Psi_Y_24	-0.24751805555951606	0.17545364911857714	0.0031616949085501215	4425.6986015822	-0.5942133890195945	-0.24561070252286282	0.08551987692505696
Psi_X_24	1.2507461909918753	0.18371885879875202	0.003130765083818977	5060.575767952969	0.9016435565400198	1.2471775009645834	1.6145623754567258
