Parameter	Mean	SD	MCSE	ESS	LB	Median	UB
H_Y	-2.7653108133141906	0.05750602089394496	0.002425319663818624	1022.7961063790752	-2.8744946843475474	-2.767147687902828	-2.649418961192596
H_X	-2.9406207323755535	0.06703032030781005	0.003521303127496935	727.507912065503	-3.0675450497670913	-2.9417985379162834	-2.8053962037430304
Q	0.6935083598155819	0.01938230487996308	0.001809069223353941	166.01383742521935	0.6573766102024686	0.6928166043533732	0.7325264914176279
Sigma_Y	-1.9366388702794888	0.02928758555467628	0.001360721641267718	699.1426124546709	-1.9924843300175588	-1.937360382738794	-1.8764564164242157
Sigma_X	-1.8996392274294698	0.03278337649077307	0.0016804017174190764	765.7173059382683	-1.9611286543965967	-1.900507358665434	-1.8324733485757652
Psi_Y_1	-0.23075007628843885	0.15120456659487574	0.0026428243713533736	4876.366256733191	-0.5234612091937667	-0.23018175233713695	0.07136300303314695
Psi_X_1	0.6202632447897685	0.14802538277297383	0.002430270781030041	5312.246648187642	0.3343801743380268	0.6175618536539149	0.9117095158810538
Psi_Y_2	-0.693783580879403	0.15396493897636493	0.0025577035472347616	5246.74095594947	-0.9990371021624422	-0.69365945886677	-0.389442626411887
Psi_X_2	-0.015715936522118893	0.15271637210605135	0.0025711125516111925	5285.291221377301	-0.31347244467769664	-0.013536142925937127	0.2836250053381934
Psi_Y_3	-0.2968891440380045	0.15297099500928626	0.002791199262787083	3705.091378316208	-0.5980051957193069	-0.29581114864823166	-0.0027253729103217245
Psi_X_3	1.3272770722383769	0.15029499587040543	0.0025573838966257557	5122.003346500725	1.0305117912752824	1.3266888096291691	1.621348671217607
Psi_Y_4	0.04090114568127861	0.15582645277984242	0.003417687119107855	2452.6714151207625	-0.26458795453689615	0.041741771121874355	0.3477290871169694
Psi_X_4	1.917382828082386	0.14768616123898584	0.0024578681603350094	5208.956717704174	1.63184382009523	1.9174378185051504	2.2079107557631557
Psi_Y_5	0.8598612278920301	0.15433629366114934	0.002859651233775486	4125.8680896831265	0.5570965883456547	0.8596112012231136	1.1658652740429465
Psi_X_5	-1.1369014236140902	0.15132174271091284	0.0026251277428769276	5330.0040018719965	-1.4336816787659399	-1.1382106591698582	-0.8413032468692714
Psi_Y_6	-0.41645656036221335	0.1522747049244808	0.0026388205245772116	5195.364132796744	-0.7160875704678897	-0.41507173293064825	-0.1161787064765607
Psi_X_6	0.7719790572919045	0.15070750243599007	0.002501597888204753	5058.7631725158235	0.47659928230652454	0.7711045143855868	1.0632704767821752
Psi_Y_7	-0.2045384092857247	0.15212186894646904	0.0027036433587163296	4809.616663427329	-0.5042030436890358	-0.2066490665356903	0.09863498822503654
Psi_X_7	-0.8529498335406348	0.15008610417067433	0.002636853834062148	4934.653223907584	-1.1456337521558448	-0.8539913045327402	-0.5607185387254157
Psi_Y_8	-0.22514886380913843	0.15073627724092645	0.0024831274012174502	5410.6814158733705	-0.5244363806492636	-0.22702539351552176	0.06986204525622797
Psi_X_8	-0.6132973807363831	0.14647426847957198	0.0024595120080895556	5162.343423725536	-0.9020088058262303	-0.6137840571856819	-0.32426484056313404
Psi_Y_9	-0.17630429575125767	0.1511773350655443	0.002536851013791234	5091.324520770029	-0.4729716498403113	-0.17612291342882275	0.11586208152741341
Psi_X_9	0.10902518070523748	0.14778146518033672	0.0024774828916962425	5259.958677601256	-0.18675153872615521	0.10985367709364735	0.3992830780487494
Psi_Y_10	0.7494073069780247	0.15350355719733283	0.0026497560891224265	5000.659711547953	0.4517091864309272	0.7473619759802502	1.0509545872082813
Psi_X_10	0.5791680880304265	0.1477366614865901	0.0024883028101013423	5247.471990515153	0.2895800812441319	0.5807630049655529	0.8650531470509613
Psi_Y_11	-0.8084069751875065	0.1623357153841249	0.0028137286178462734	4980.191988747057	-1.1259402600442636	-0.8104334482867963	-0.48889777704562587
Psi_X_11	0.04394220154601975	0.15316062929895932	0.002555335386484351	5113.988820888464	-0.257629104944043	0.043485060090296415	0.34654175468155024
Psi_Y_12	0.10018735333601862	0.15304437693891546	0.002570705421430118	5338.830039397504	-0.2011252489489357	0.10011779867872869	0.40085049806495165
Psi_X_12	-0.6603102667165333	0.14959567363271326	0.0023868687349857193	5584.670498465693	-0.9647209313440684	-0.6591671494939652	-0.3749489276748028
Psi_Y_13	-1.0028481512576775	0.15185531427577478	0.002659480972249066	5165.2177481343	-1.304027446415208	-1.0039781784087345	-0.7030054372387601
Psi_X_13	-0.14015707687073395	0.14946387363828384	0.002593240963054565	5084.761098600218	-0.43180785764387963	-0.14113250164280566	0.15012164750776752
Psi_Y_14	0.6563130561040322	0.15063826095042335	0.002523625267488239	5234.499082705845	0.36188228950898355	0.6553715520243978	0.9526607427388029
Psi_X_14	-0.7269596263900906	0.14828563922500618	0.0024826570114532664	5149.309865328124	-1.016240191866073	-0.7253501183092537	-0.43328282535331925
Psi_Y_15	0.26319430494027396	0.14920666031492305	0.0027585106125921142	4681.447864840711	-0.028517442389464954	0.2645430396424494	0.5530870633279042
Psi_X_15	1.0801582906774443	0.14958795930832022	0.002413642559371246	5660.793709054043	0.7910786174761116	1.0797089149495405	1.3722403994221908
Psi_Y_16	-0.11354931990822294	0.15182184700600623	0.002678612982345572	5287.761364536585	-0.41564474423731124	-0.11389643374325456	0.18290346560922727
Psi_X_16	-0.3609012345098949	0.1514330373465784	0.002614681949217007	4885.65233088415	-0.6555906521398454	-0.3617174003598427	-0.059445638721859366
Psi_Y_17	0.1933664616103473	0.15048078903430315	0.002592226554208977	5204.9404444701995	-0.09836869259283147	0.19380669573158632	0.48439478961259114
Psi_X_17	0.2169070569144525	0.15000844933163862	0.002535209397191979	5058.868612925458	-0.07289862448234388	0.21667409183740216	0.514157731570132
Psi_Y_18	-0.36978396285264403	0.15456505556646205	0.002771722126676781	3643.1567600178973	-0.6724994626932946	-0.36964567376013724	-0.060957047708741975
Psi_X_18	-1.4538573247951283	0.1513154659541698	0.002575940624909184	5008.884665109675	-1.7532015597699182	-1.4522568185272355	-1.1583944186616408
Psi_Y_19	1.306847170499732	0.14809777010860684	0.0025230392336642784	5204.231714192035	1.0174782551649586	1.307859614362806	1.5954093446322986
Psi_X_19	0.7258138244449431	0.15159714406765534	0.0026323015833369704	5172.564955245663	0.4287008078886879	0.7246540601972545	1.0227392950976795
Psi_Y_20	0.2965238790714934	0.15075442444298875	0.002574491714755719	4966.483107968953	-2.1105001295998246e-4	0.2963727725047567	0.5975216391148639
Psi_X_20	-0.6519475973806735	0.14944757719292556	0.0025684347317914153	4991.607728813049	-0.9462349534765505	-0.6522266870333644	-0.359062086027697
Psi_Y_21	-0.5753099040940806	0.1524759497745905	0.0027526698828354334	4710.961665423779	-0.8683758324137958	-0.5775387193417001	-0.27550106089666443
Psi_X_21	0.6565779084539243	0.14933339294017245	0.0025725966450158982	5087.277665924087	0.3668294849608447	0.6571334822611856	0.9477141039752267
Psi_Y_22	0.0010967668455066988	0.15104584454159942	0.002444603762011718	5501.767312323685	-0.2865360483341335	1.8954026919761058e-4	0.30066558639645413
Psi_X_22	-0.04551130260003708	0.15256723019569873	0.0025254265667441463	5400.446949238029	-0.34807846514646423	-0.04509056817525935	0.2502599765230546
Psi_Y_23	0.9342966579942055	0.15024004216419098	0.002722605393182959	4982.253899223735	0.6374363218971411	0.9348664827604856	1.228751233810074
Psi_X_23	-0.8031782033064009	0.14903636324585717	0.002490639594975098	5211.006483637991	-1.0958486815105288	-0.8022186276775637	-0.5113721225212031
Psi_Y_24	-0.18819664962929847	0.14933054613081764	0.0027863779448841913	3774.718295505154	-0.4782194174657555	-0.18896947540526016	0.10540607287908338
Psi_X_24	1.255195954637025	0.15054787528684677	0.002573572676313523	5030.290833649781	0.9646428483115854	1.2534662143560673	1.554961487007043
Psi_Y_25	-0.12171569381314355	0.1498359545766895	0.0024403150420764888	5257.718711716497	-0.4185937890296109	-0.12180787581760018	0.1734811315827762
Psi_X_25	-0.028164120778509022	0.14883423132045032	0.0024758608654951914	5212.463635193929	-0.31932716694757424	-0.028686386252070054	0.26557584703922765
Psi_Y_26	0.5293794278183802	0.15451512389700864	0.0027047018699294816	5081.048674386176	0.22791574634975859	0.5292831244452321	0.8342245750286873
Psi_X_26	1.075216871987297	0.1508276324057475	0.0025625665160514603	5177.6911854290365	0.784945281710068	1.0726687709364322	1.3703453100560294
Psi_Y_27	0.13807352133899892	0.15197184938817768	0.0026528813078366947	5155.454949580877	-0.15460295115629716	0.1375288019095428	0.4351131661971747
Psi_X_27	-0.7934046974127535	0.1508809882592182	0.0026326456317036367	5111.129600408703	-1.0904253334607459	-0.793100200926184	-0.4957466936723024
