Parameter	Mean	SD	MCSE	ESS	LB	Median	UB
H_Y	-2.977867434394928	0.06256619234288059	0.002975561858759728	846.9175366850104	-3.0958329963440754	-2.9795845341575067	-2.8516686233787163
H_X	-3.128704156823672	0.06902433128404219	0.0034934813121636904	673.7284233529085	-3.265434360884806	-3.128643481603463	-2.9894054824198704
Q	0.7013963440967115	0.021497125942380763	0.002055594262653726	139.67135823891925	0.6616782504631346	0.7003729699194996	0.7444452919788002
Sigma_Y	-2.044711392614867	0.032172245782184604	0.0018056856223902975	678.4605369820061	-2.105688082248499	-2.045916733221933	-1.9798491627702284
Sigma_X	-1.9938153506441896	0.03367839476934924	0.001550305172308661	754.5051826269023	-2.0592842188310354	-1.9940003385868725	-1.9259612171333846
Psi_Y_1	-0.23469398087596507	0.1516676422460426	0.0025945593495068676	4973.76747511883	-0.5362569252254732	-0.23273377988719282	0.06344169454648349
Psi_X_1	0.6229184212347452	0.1477737029583309	0.002436800225105672	5295.005764119886	0.3367997588731284	0.6227425342348321	0.9200021325996771
Psi_Y_2	-0.6881030459733122	0.15420690641632953	0.002668526750928986	5264.646177556935	-0.9915644674407367	-0.6880456171024529	-0.3868697815163857
Psi_X_2	-0.01234631482841676	0.1482164551401183	0.0026372340979448875	5106.920543065467	-0.3038767743491293	-0.013150631810991936	0.2800626707466023
Psi_Y_3	-0.3028458846396956	0.15254063517204422	0.0027949675939425767	4215.0264907095725	-0.5955738312401456	-0.30484653437087034	-0.0035220176117754945
Psi_X_3	1.3289207862595926	0.14990223306634026	0.0024388122377070865	5372.1573680942465	1.0379195602175852	1.3283120080895436	1.6221755568668468
Psi_Y_4	0.024858553257315025	0.1587675828412713	0.0034677778939082443	2844.745784850041	-0.29145344866076556	0.02600398017675422	0.3299728252896786
Psi_X_4	1.916860932096082	0.14988974260471888	0.002562743987501092	5297.750485926226	1.624011931267038	1.9160868191175529	2.21485041652572
Psi_Y_5	0.8640941046951794	0.15222559388153745	0.00259704325126262	4367.597965036427	0.5657431886827304	0.8660367731660135	1.1615513375508477
Psi_X_5	-1.1382481920629188	0.14988255973827075	0.0025155277224588116	5391.593823531777	-1.432232914029953	-1.1387809691514366	-0.8444521620454172
Psi_Y_6	-0.42475668934636646	0.15182633266847745	0.0024961327840221717	5279.4869999472485	-0.723104627895713	-0.4243272417532958	-0.12655685802639471
