Parameter	Mean	SD	MCSE	ESS	LB	Median	UB
H_Y	-3.98837124172232	0.08465502438875347	0.00566396115263579	418.70732308602317	-4.1452088760400345	-3.991644300576571	-3.8090606512187124
H_X	-4.3817053076528785	0.0599611767934637	0.0031729902100706736	791.7124854751428	-4.497953244648549	-4.382930459189349	-4.261735037174263
Q	0.6259829792643602	0.023414126376551336	0.002320275453988886	140.12165147501273	0.5800889867578817	0.6257349862006587	0.6702464725127477
C	0.1421521512853728	0.02962200639885495	0.00219161319443363	355.004265387157	0.07921855509961291	0.14409119263830433	0.1956363083666055
Sigma_Y	-2.48866359342565	0.03386610673624353	0.002213714748204477	439.0225489807622	-2.5492061998992	-2.4904897953793705	-2.4165530713888703
Sigma_X	-2.540616193602384	0.021701435851572835	0.001063893386677246	877.7610732303767	-2.5818276656704007	-2.5414401449375603	-2.4961368634482275
Psi_Y_1	0.47165000491841524	0.1729429893861263	0.0030627676553344487	5155.761355926607	0.12882552239526474	0.4722733514757774	0.8144402866789384
Psi_X_1	0.19385089978632356	0.2144771612536305	0.003919796697826278	5015.675243464323	-0.22651616352265203	0.19114564491566796	0.6244918069567593
Psi_Y_2	0.4335933155821779	0.17755201359163147	0.003242280119305749	4933.79337398445	0.08424389569078286	0.4325805517059753	0.7928151395328767
Psi_X_2	-0.647593572931746	0.21433911847809384	0.0036796516055622253	4983.360974012662	-1.0681687191076965	-0.6488075163937785	-0.23340209891252717
Psi_Y_3	0.9477071057236649	0.1741397287459376	0.003096788051854802	4825.669949183273	0.6035297010758875	0.9500644148072332	1.2877769749726
Psi_X_3	0.618807420452421	0.20800694379745	0.003603747597028806	4981.483904133943	0.21315433350599405	0.6154637480873271	1.0329996321479697
Psi_Y_4	1.0368029610125078	0.17672284081758313	0.0031830841898708674	3159.1903754004175	0.6868134150544958	1.0355124528973114	1.3850456675967235
Psi_X_4	1.262966402266769	0.21540965121821726	0.003626699993168938	4833.2110643370925	0.8427229925086859	1.262501823644639	1.6883797791273165
Psi_Y_5	-1.1939148815617395	0.1713947927319956	0.0027453558436345503	5519.098493688794	-1.5329954202479648	-1.1939804942209444	-0.8588454771285966
Psi_X_5	0.02791055365498638	0.21170887864502977	0.0037820392984758214	5014.7440793687465	-0.3871143438493634	0.025471370620599523	0.4413081785133581
Psi_Y_6	0.7053434701930515	0.17264275962102532	0.002960583615637527	5365.221779977749	0.36224968899761273	0.7087314306814132	1.0320348243082336
Psi_X_6	0.12823523882299687	0.21498497089260296	0.0038321147018743344	4703.581682762557	-0.29566687436574335	0.1266597637559257	0.543057775773464
Psi_Y_7	-0.3832410592556734	0.17417114369698197	0.003191795682524148	4921.553679722642	-0.7241752567158727	-0.38149344713256167	-0.036910746044120715
Psi_X_7	-0.8341504026585387	0.20970162288764732	0.0035759544399091045	5218.831575992185	-1.244524272203855	-0.8373236510823459	-0.4223033830557147
Psi_Y_8	-0.2013052801343974	0.1731391722318845	0.0028466767247796016	5336.833299255642	-0.5387284584153064	-0.20202371880078274	0.13871269706675823
Psi_X_8	-0.6286463323714038	0.20990362002031784	0.0034745346233516676	5244.802359135492	-1.0449042042576209	-0.6280794202641891	-0.21332119039338168
Psi_Y_9	0.176561759901894	0.17308975896663192	0.0029375376560466606	5431.997067485192	-0.1605485959833129	0.1780462629231965	0.5109896594948181
