Parameter	Mean	SD	MCSE	ESS	LB	Median	UB
H_Y	-2.6299049893013686	0.10810591049909729	0.007125443518307558	478.8623381590928	-2.8303221931940756	-2.633979948206189	-2.4119130011604217
H_X	-3.1376415157684865	0.06545587761457673	0.0030282775379494972	501.12523747761634	-3.2647645679472324	-3.1370084749576757	-3.006961617491289
Q	0.5983565615696924	0.021275982533955514	0.0021853407819073132	104.12388106049139	0.5571771908669366	0.5983910088631356	0.6392124418903903
C	0.0117653069109529	0.048079228367204185	0.0035782801421231185	347.3396298108169	-0.08941617008366505	0.01445688890605395	0.09913440576356683
Sigma_Y	-1.8658322223680068	0.04819508419053915	0.0030819738792568123	509.761087050053	-1.9541060297319013	-1.867953575532686	-1.7670259191364528
Sigma_X	-1.979797445948647	0.03134832131691562	0.0014134582358076328	530.2803382698687	-2.0405076532432167	-1.9796202860652765	-1.9170003286007773
Psi_Y_1	0.5071000557600844	0.1412102615530867	0.0023449649611198393	5325.76704111277	0.22787426456992255	0.5090674094959354	0.7791672178433042
Psi_X_1	0.1974456238407669	0.1555842122699505	0.0026067378197196715	4767.235299892625	-0.11126437765145486	0.19733746584661757	0.5017208178031791
Psi_Y_2	0.41676696941956126	0.1450668592061572	0.0024215691403430962	5407.4763670609245	0.13229207632657158	0.4177248482635379	0.7019065517820748
Psi_X_2	-0.6959332292220085	0.15848989268542904	0.0028911913040829264	4914.828867001109	-1.004478725787185	-0.6936410702258796	-0.38861955932879955
Psi_Y_3	0.968654185187918	0.14529903996300375	0.0024155177871142295	5121.729611429429	0.685779635683692	0.9706541500052615	1.2532574865517463
Psi_X_3	0.6123542260507912	0.15873788357754326	0.002881897749844422	4981.251355531456	0.30159057398239103	0.6121162800846837	0.9261479383184901
Psi_Y_4	1.1043691568635738	0.14859892837761746	0.0031508139063157192	3091.8656938182594	0.8060074123455117	1.1076125581596594	1.3884305985070133
Psi_X_4	1.3564190308283008	0.15724938406105096	0.002648245509303348	5269.131819128885	1.0528175042657606	1.3568814794310695	1.6641123130085311
Psi_Y_5	-1.1934383707473672	0.14225474729827392	0.002274761642948042	5564.9424550181075	-1.473066996840674	-1.1944013355620147	-0.9124134904618209
Psi_X_5	0.0725284658589648	0.15356217129871264	0.0025305274652169013	5377.5936757746895	-0.22641432804973627	0.07407480655066101	0.37879819213108756
Psi_Y_6	0.7024852503392672	0.14235887660789645	0.0024562486309171357	5027.619118239287	0.4258297031273094	0.7025861030977902	0.9855479367661555
Psi_X_6	0.11659585971810517	0.15511930707499005	0.0025679464737291247	5714.709700394231	-0.18631589216234243	0.11521756184403503	0.4207057261709284
Psi_Y_7	-0.38255874658425937	0.14504910733225498	0.002397068641833503	5269.44170107578	-0.6655904695182894	-0.38259044484409455	-0.09619474830574161
Psi_X_7	-0.7979365799660995	0.1555189815820245	0.002886795482922786	4749.452532574218	-1.1047986106334735	-0.7969124795417771	-0.5002108109106969
Psi_Y_8	-0.22892181950788945	0.14475028357910916	0.0027185315814944855	4688.13680553829	-0.5087644510178285	-0.22964907463381135	0.06139181418772609
Psi_X_8	-0.6384004742044642	0.15598057801284157	0.0026611770732314403	5150.766398653051	-0.9419401629325713	-0.6379083001993303	-0.3299080796090383
Psi_Y_9	0.1663521374312553	0.14214171667734563	0.002344061399872172	5365.600047528755	-0.10901318485117485	0.16543579570652872	0.4420041061372904
Psi_X_9	-0.101458065246882	0.15581638551089189	0.002611090162801632	5261.794511118096	-0.4033591269903995	-0.10177598957116259	0.20369905383996448
Psi_Y_10	-0.10502874381357595	0.14568863749174585	0.0026198944220787086	4646.036712945084	-0.38870689691610627	-0.10589039667248043	0.17984538337254494
Psi_X_10	1.1446400718696268	0.15525664410690843	0.0027184109663797645	5187.303017004872	0.8415550720432997	1.1453111419220574	1.4475078829250274
Psi_Y_11	0.5061550882587633	0.14946511966799578	0.00247168312726642	5373.386001333195	0.216165113295293	0.505739558843401	0.8003984893218549
Psi_X_11	-0.7621167982233099	0.16352929920551987	0.002887079498904885	5043.215294430205	-1.0871868314423747	-0.7616987802005256	-0.4407193664958485
Psi_Y_12	-0.4459632482630143	0.14559027971277724	0.0024270503301273465	5227.947429669615	-0.7327513974121996	-0.44817446557796187	-0.16069193239399038
Psi_X_12	-0.35635074877882167	0.15636677668143914	0.0026307318384499725	5276.6794722125005	-0.6563581111020611	-0.3561387906315564	-0.05227763316094582
Psi_Y_13	0.5145153313351555	0.14373940687726292	0.0026087177811103686	4775.768842369164	0.23392962889868754	0.5164329529359507	0.7959378910620369
Psi_X_13	-1.0921822828382661	0.15297163594916893	0.002586697357121594	5150.507359066046	-1.392619693315939	-1.092311598851355	-0.7911423885287696
