Parameter	Mean	SD	MCSE	ESS	LB	Median	UB
H_Y	-2.8048412744584255	0.10582303857455179	0.006674347182750406	466.5288023448882	-3.0103532245722513	-2.8079223241211175	-2.5885277362020402
H_X	-3.398256920641736	0.06729613783918031	0.0029393328195306406	757.3357389300792	-3.5275489150730364	-3.399140165184791	-3.2646527156863003
Q	0.5920146239754964	0.022879299346373637	0.002437294908630647	83.27860767833336	0.5458474750388709	0.5918042629351473	0.6381139920717481
C	-0.0031964421100795152	0.04669664860088697	0.0034068301323891786	350.0286584933211	-0.10163867256239237	-0.0016373941237437365	0.0812448062852448
Sigma_Y	-1.953503143710064	0.04892250138599618	0.003143906570107342	456.8843898755469	-2.0481376958365556	-1.9543601359583922	-1.853550639907087
Sigma_X	-2.1079508151008963	0.03176513453414891	0.0013557412186006755	759.6582300717367	-2.1687850981791366	-2.108540407567715	-2.044115857443991
Psi_Y_1	0.5077779315929525	0.14441382754430976	0.0024756124249688694	5164.586856772282	0.22174057602854402	0.5051201783040211	0.7919042379468133
Psi_X_1	0.19743474924363877	0.15872867146190953	0.0027033396706506365	5287.062269523937	-0.1136394853697954	0.19624627590300664	0.5070058696375338
Psi_Y_2	0.41384495009044064	0.14736278196765157	0.0026003765606166795	4890.364933965768	0.12785950711545818	0.4136512393866721	0.7037159455784288
Psi_X_2	-0.6908228926670006	0.16117366275033657	0.002651533319335986	5160.748084174575	-1.0044272831784309	-0.6908556909362955	-0.37127383882171316
Psi_Y_3	0.9732837746921292	0.14436678716331514	0.0025181906672008068	4928.200307680204	0.6864232702761534	0.9740862302986737	1.2554746190345425
Psi_X_3	0.6240242306249254	0.1577782850747228	0.002613485377244046	5233.4017341478275	0.3107051896444427	0.6245899649029771	0.9307295222812637
Psi_Y_4	1.1116959021117148	0.14805902013626135	0.0030260985447737904	2603.7124002532432	0.8242976882642472	1.1138677082194075	1.3996498552731218
Psi_X_4	1.3507430246406256	0.15892181731831204	0.0025461256819178713	5538.319861311297	1.0396556463883937	1.3514996369128682	1.6635437805817423
Psi_Y_5	-1.1946218856460833	0.14558239230995842	0.0024776279793966706	5354.534758067235	-1.4812645005334317	-1.1941176484350047	-0.9048075081058788
Psi_X_5	0.06698282156760743	0.15621180232851703	0.0026273123196998453	5150.264913011884	-0.24381268340258114	0.07101991947973124	0.37123818873772096
Psi_Y_6	0.7032427911052146	0.14255214263537166	0.0024497309295515458	5139.896950016136	0.42487660986743364	0.7029289568691326	0.9868792186733552
Psi_X_6	0.11909325584005953	0.15799681857068906	0.0026947470388962577	4998.033936273077	-0.18422432386624968	0.1194397839697749	0.42412365347943826
Psi_Y_7	-0.3944247508743024	0.14566825800000985	0.0026476037826981746	4863.274299300653	-0.6815071615564617	-0.39445604673107143	-0.10842242616131256
Psi_X_7	-0.7989893342385983	0.15483409875583665	0.002644938329819836	5301.527503698093	-1.1002839892729095	-0.7980503906119382	-0.4971063210864315
Psi_Y_8	-0.2327388436236203	0.14346961881879877	0.002484631125691518	4970.029129719274	-0.5090967123527724	-0.2355725558550901	0.056065479262032085
Psi_X_8	-0.6461389692984727	0.15645390578636825	0.002657643310100159	5139.726466706742	-0.9527502605102901	-0.6478107662265771	-0.3408317685937374
Psi_Y_9	0.17298030279858612	0.1431376350762336	0.0024299627262613028	5295.490433944787	-0.10745214647667388	0.17259265321567868	0.4571772231797133
Psi_X_9	-0.09506131307270668	0.15963020863458618	0.0026857871239309972	5423.82387263237	-0.4102084152040027	-0.09625578320737804	0.2214590835579576
Psi_Y_10	-0.09981111736411422	0.14659620338632007	0.002759203829736912	4504.708405954619	-0.389110571208769	-0.09931595923435338	0.1910844908363978
Psi_X_10	1.1424418756796764	0.15739760863489524	0.0026337452716463775	5430.143569394417	0.8327346070006761	1.1426622420354682	1.446518922622034
Psi_Y_11	0.5072459156152973	0.14823161675011134	0.0026553190290705686	4887.441260603937	0.2175065879510089	0.5081527065936	0.798265008941354
Psi_X_11	-0.7642525720597645	0.1635151719678818	0.00279267493397882	5180.830637597524	-1.0873000514941058	-0.7637468853341447	-0.44559066354090177
Psi_Y_12	-0.4470779234613846	0.14426346925644984	0.0024849802551635703	5352.4066427386015	-0.7282466761948843	-0.4476814560543441	-0.16485759012036286
Psi_X_12	-0.35293815008833984	0.1589632684436366	0.002692859739420718	5187.202895181508	-0.6618756892838209	-0.3529705325566225	-0.04177617014163024
Psi_Y_13	0.5077043001794996	0.14593731141533742	0.0027265944063026254	4490.168665984005	0.21499731531446153	0.5105705092312921	0.7895775015274488
Psi_X_13	-1.0888820602442448	0.15456271687015385	0.002548087329396979	5387.823433888925	-1.38511719548834	-1.0907423031460846	-0.7828675104647835
Psi_Y_14	-0.8228883889473547	0.14149761579635026	0.002260209183349226	5612.5048598021285	-1.1059885697137317	-0.821374948061661	-0.5477908436347283
