Num.Enhancers,Gene_ID,Human
19,ENSMUSG00000000001,ENSG00000065135
2,ENSMUSG00000000028,ENSG00000093009
2,ENSMUSG00000000049,ENSG00000091583
4,ENSMUSG00000000056,ENSG00000141562
15,ENSMUSG00000000058,ENSG00000105971
7,ENSMUSG00000000078,ENSG00000067082
5,ENSMUSG00000000085,ENSG00000010803
21,ENSMUSG00000000088,ENSG00000178741
7,ENSMUSG00000000093,ENSG00000121068
22,ENSMUSG00000000120,ENSG00000064300
7,ENSMUSG00000000125,ENSG00000108379
7,ENSMUSG00000000131,ENSG00000169180
12,ENSMUSG00000000134,ENSG00000068323
1,ENSMUSG00000000142,ENSG00000168646
9,ENSMUSG00000000148,ENSG00000106009
7,ENSMUSG00000000149,ENSG00000146535
10,ENSMUSG00000000154,ENSG00000110628
19,ENSMUSG00000000167,ENSG00000150773
23,ENSMUSG00000000168,ENSG00000150768
22,ENSMUSG00000000171,ENSG00000204370
2,ENSMUSG00000000184,ENSG00000118971
9,ENSMUSG00000000194,ENSG00000148358
5,ENSMUSG00000000202,ENSG00000204347
8,ENSMUSG00000000214,ENSG00000180176
5,ENSMUSG00000000215,ENSG00000254647
9,ENSMUSG00000000244,ENSG00000064201
1,ENSMUSG00000000247,ENSG00000106689
12,ENSMUSG00000000253,ENSG00000137198
7,ENSMUSG00000000266,ENSG00000080561
13,ENSMUSG00000000275,ENSG00000121060
7,ENSMUSG00000000276,ENSG00000153933
31,ENSMUSG00000000278,ENSG00000121064
19,ENSMUSG00000000282,ENSG00000070444
12,ENSMUSG00000000290,ENSG00000160255
13,ENSMUSG00000000301,ENSG00000133027
11,ENSMUSG00000000303,ENSG00000039068
3,ENSMUSG00000000305,ENSG00000179242
14,ENSMUSG00000000308,ENSG00000237289
34,ENSMUSG00000000317,ENSG00000161940
44,ENSMUSG00000000320,ENSG00000108839
30,ENSMUSG00000000326,ENSG00000093010
4,ENSMUSG00000000339,ENSG00000137996
7,ENSMUSG00000000340,ENSG00000137992
33,ENSMUSG00000000346,ENSG00000183283
4,ENSMUSG00000000355,ENSG00000232119
16,ENSMUSG00000000359,ENSG00000088320
1,ENSMUSG00000000365,ENSG00000132972
22,ENSMUSG00000000374,ENSG00000280433
11,ENSMUSG00000000378,ENSG00000136280
10,ENSMUSG00000000384,ENSG00000136270
11,ENSMUSG00000000385,ENSG00000184012
2,ENSMUSG00000000386,ENSG00000157601
2,ENSMUSG00000000392,ENSG00000078098
2,ENSMUSG00000000399,ENSG00000139180
2,ENSMUSG00000000402,ENSG00000198759
12,ENSMUSG00000000409,ENSG00000182866
1,ENSMUSG00000000411,ENSG00000162526
4,ENSMUSG00000000416,ENSG00000077063
10,ENSMUSG00000000420,ENSG00000141429
8,ENSMUSG00000000439,ENSG00000075975
7,ENSMUSG00000000440,ENSG00000132170
19,ENSMUSG00000000441,ENSG00000132155
6,ENSMUSG00000000486,ENSG00000180096
8,ENSMUSG00000000489,ENSG00000100311
9,ENSMUSG00000000530,ENSG00000139567
11,ENSMUSG00000000531,ENSG00000161835
9,ENSMUSG00000000532,ENSG00000135503
15,ENSMUSG00000000538,ENSG00000175662
14,ENSMUSG00000000552,ENSG00000161642
13,ENSMUSG00000000555,ENSG00000161638
8,ENSMUSG00000000561,ENSG00000116455
3,ENSMUSG00000000562,ENSG00000282608
8,ENSMUSG00000000563,ENSG00000116459
4,ENSMUSG00000000567,ENSG00000125398
3,ENSMUSG00000000568,ENSG00000138668
9,ENSMUSG00000000579,ENSG00000146425
1,ENSMUSG00000000581,ENSG00000197223
22,ENSMUSG00000000594,ENSG00000196743
2,ENSMUSG00000000600,ENSG00000001631
3,ENSMUSG00000000605,ENSG00000073464
6,ENSMUSG00000000627,ENSG00000135622
40,ENSMUSG00000000631,ENSG00000196535
3,ENSMUSG00000000632,ENSG00000063015
8,ENSMUSG00000000673,ENSG00000162882
25,ENSMUSG00000000682,ENSG00000169442
20,ENSMUSG00000000686,ENSG00000168792
32,ENSMUSG00000000690,ENSG00000108511
21,ENSMUSG00000000693,ENSG00000115318
1,ENSMUSG00000000706,ENSG00000124557
1,ENSMUSG00000000708,ENSG00000114166
41,ENSMUSG00000000711,ENSG00000111540
11,ENSMUSG00000000724,ENSG00000108255
7,ENSMUSG00000000730,ENSG00000279493
20,ENSMUSG00000000732,ENSG00000277117
3,ENSMUSG00000000738,ENSG00000197912
3,ENSMUSG00000000739,ENSG00000213648
12,ENSMUSG00000000740,ENSG00000167526
9,ENSMUSG00000000743,ENSG00000131165
26,ENSMUSG00000000751,ENSG00000132383
34,ENSMUSG00000000753,ENSG00000132386
11,ENSMUSG00000000759,ENSG00000126216
16,ENSMUSG00000000776,ENSG00000168495
11,ENSMUSG00000000782,ENSG00000081059
4,ENSMUSG00000000787,ENSG00000215301
17,ENSMUSG00000000791,ENSG00000096996
8,ENSMUSG00000000792,ENSG00000105641
5,ENSMUSG00000000794,ENSG00000143603
9,ENSMUSG00000000804,ENSG00000129204
14,ENSMUSG00000000805,ENSG00000167434
4,ENSMUSG00000000811,ENSG00000197763
5,ENSMUSG00000000823,ENSG00000196700
5,ENSMUSG00000000826,ENSG00000101152
5,ENSMUSG00000000827,ENSG00000101150
3,ENSMUSG00000000876,ENSG00000101417
5,ENSMUSG00000000881,ENSG00000082458
20,ENSMUSG00000000884,ENSG00000185838
8,ENSMUSG00000000889,ENSG00000123454
15,ENSMUSG00000000901,ENSG00000099953
15,ENSMUSG00000000902,ENSG00000099956
10,ENSMUSG00000000903,ENSG00000128218
21,ENSMUSG00000000915,ENSG00000130787
6,ENSMUSG00000000934,ENSG00000184428
9,ENSMUSG00000000938,ENSG00000253293
17,ENSMUSG00000000942,ENSG00000197576
21,ENSMUSG00000000957,ENSG00000157227
31,ENSMUSG00000000958,ENSG00000155465
38,ENSMUSG00000000959,ENSG00000155463
19,ENSMUSG00000000976,ENSG00000068097
3,ENSMUSG00000000982,ENSG00000277632
9,ENSMUSG00000001014,ENSG00000105371
12,ENSMUSG00000001016,ENSG00000143621
12,ENSMUSG00000001017,ENSG00000160679
13,ENSMUSG00000001018,ENSG00000143553
13,ENSMUSG00000001020,ENSG00000196154
9,ENSMUSG00000001021,ENSG00000188015
12,ENSMUSG00000001025,ENSG00000197956
12,ENSMUSG00000001029,ENSG00000108622
10,ENSMUSG00000001034,ENSG00000166484
12,ENSMUSG00000001036,ENSG00000072134
10,ENSMUSG00000001039,ENSG00000108641
2,ENSMUSG00000001052,ENSG00000138802
10,ENSMUSG00000001053,ENSG00000145911
8,ENSMUSG00000001054,ENSG00000145916
11,ENSMUSG00000001056,ENSG00000145912
15,ENSMUSG00000001062,ENSG00000075399
10,ENSMUSG00000001065,ENSG00000158805
10,ENSMUSG00000001076,ENSG00000186897
12,ENSMUSG00000001082,ENSG00000109736
46,ENSMUSG00000001095,ENSG00000007216
5,ENSMUSG00000001098,ENSG00000110906
46,ENSMUSG00000001100,ENSG00000004142
27,ENSMUSG00000001105,ENSG00000109083
2,ENSMUSG00000001119,ENSG00000142156
22,ENSMUSG00000001120,ENSG00000183570
1,ENSMUSG00000001123,ENSG00000249861
7,ENSMUSG00000001127,ENSG00000078061
6,ENSMUSG00000001128,ENSG00000126759
6,ENSMUSG00000001131,ENSG00000102265
4,ENSMUSG00000001134,ENSG00000126756
9,ENSMUSG00000001138,ENSG00000168763
8,ENSMUSG00000001143,ENSG00000114988
4,ENSMUSG00000001150,ENSG00000160294
1,ENSMUSG00000001151,ENSG00000160299
5,ENSMUSG00000001155,ENSG00000160282
23,ENSMUSG00000001156,ENSG00000059728
18,ENSMUSG00000001157,ENSG00000244234
13,ENSMUSG00000001175,ENSG00000198668
26,ENSMUSG00000001211,ENSG00000160216
8,ENSMUSG00000001227,ENSG00000167680
