GeneStableID	Gene name	Cat gene stable ID	Cow gene stable ID	Dog gene stable ID	Horse gene stable ID	Monkey gene stable ID	Opossum gene stable ID	Pig gene stable ID	Rabbit gene stable ID	Rat gene stable ID	Sheep gene stable ID	HumanSF_A	HumanSF_B	HumanSF_C	HumanSF_D	HumanSF_E	HumanSF_F	Human_mix_pro	CatSF_1	CatSF_2	CatSF_3	Cat_mix_pro	CowSF_A	CowSF_B	CowSF_C	Cow_mix_pro	DogSF_A	DogSF_B	DogSF_C	Dog_mix_pro	Horse_1	Horse_2	Horse_3	Horse_mix_pro	Monkey_1	Monkey_2	Monkey_mix_pro	OpposumSF_A	OpposumSF_B	OpposumSF_C	Opposum_mix_pro	PigSF_A	PigSF_B	PigSF_C	Pig_mix_pro	RabbitSF_A	RabbitSF_B	RabbitSF_C	Rabbit_mix_pro	Rat_A	Rat_B	Rat_F	Rat_mix_pro	SheepSF_1	SheepSF_2	SheepSF_3	Sheep_mix_pro
ENSG00000198712	MT-CO2	ENSFCAG00000032061	ENSBTAG00000043556	ENSCAFG00000022726	ENSECAG00000027692	ENSMMUG00000065380	ENSMODG00000021575	ENSSSCG00000018078	ENSOCUG00000029099	ENSRNOG00000030371	ENSOARG00000000019	1313502.75	1328143.875	813475.5625	870703.8125	1162439.5	1065653.875	1098874.125	1075400.25	874658.5625	1118340.875	903884	1971752.375	2139406.75	2056936.25	1913333.875	1376962.75	1422194.25	1070537.875	1179869.5	1168012.25	973971.75	1285180.875	1324068.875	3133752.5	2055715.625	2601069	1289806.75	1443444	1517351.625	1345757.75	2623735.5	2470136	2197278.25	2389741	2531737	2626860	2810118.25	2625362.5	4441775	4985832.5	3784233.5	4502921	2492639	2160768.5	1722763.375	2029661.75
ENSG00000228253	MT-ATP8	ENSFCAG00000032063	ENSBTAG00000043564	ENSCAFG00000022728	ENSECAG00000027679	ENSMMUG00000065383	ENSMODG00000021577	ENSSSCG00000018080	ENSOCUG00000029101	ENSRNOG00000033299	ENSOARG00000000021	429237.2813	540856.25	234121.2188	386093.5938	419110.0625	371036.75	431964.375	389028.0625	381063	409560.3438	405872.875	56817.875	55342.91016	43369.03516	213746.5156	1065944	830452.3125	771260.5625	921762.1875	307825.5	326110.75	313167.1563	396515.8438	389742.3125	309443.1563	433834.375	322280.1875	316628.5625	374024.6875	364202	1425441.5	1419711.875	1258321.125	1436264.5	1044403.75	912751.375	1008246.625	857759.875	392129.3125	440280.75	371083.375	464344.5313	545113.5625	381380.9688	279117.7813	26284.62109
ENSG00000198886	MT-ND4	ENSFCAG00000032070	ENSBTAG00000043577	ENSCAFG00000022735	ENSECAG00000027675	ENSMMUG00000065387	ENSMODG00000021584	ENSSSCG00000018087	ENSOCUG00000029108	ENSRNOG00000029707	ENSOARG00000000028	19784.29492	32472.39648	26435.03711	27681.31836	23743.01172	20404.80078	23973.21875	239089.5781	236697.2813	244876.0781	252991.4688	239344.9375	223402.9063	225743.2188	201893.4688	307334.4063	141455.5156	151891.4688	126776.2109	49611.86719	41825.33984	68530.85156	45774.98828	18913.39453	20815.86328	19017.11133	21752.97656	20605.77344	19776.4043	14138.89844	472619.8125	239222.7344	225402.2031	188745.4531	46302.3125	71324.29688	74784.47656	59015.85547	239525.2031	309950.5313	225467.7969	226006.3594	559533.8125	232021.7813	163713.9531	190384.2031
ENSG00000110811	P3H3	ENSFCAG00000004270	ENSBTAG00000003598	ENSCAFG00000031318	ENSECAG00000021815	ENSMMUG00000005189	ENSMODG00000018141	ENSSSCG00000000681	ENSOCUG00000012916	ENSRNOG00000016071	ENSOARG00000005885	477990.9375	473286.3438	411333.875	450512.9688	467906.2813	436853.1875	379650.9688	455244.0313	461756.875	462715.4375	398324.5625	571884	572952.25	549511.5625	486872.625	581871.3125	403877.625	576687.125	388068.25	261937.0781	237104.5781	275990.5938	288069.625	559048.125	486136.0938	542140.9375	230625.6563	244709.0313	250921.3438	231594.8906	473134.2188	409635.4063	386957.4375	394606.6875	851812.625	726332.3125	767761.25	1069803.875	756612.6875	848318.0625	739929.6875	640552.5	530784.25	441701.6563	461051.1875	443146.0938
ENSG00000148719	DNAJB12	ENSFCAG00000000724	ENSBTAG00000013651	ENSCAFG00000014441	ENSECAG00000010516	ENSMMUG00000010431	ENSMODG00000000043	ENSSSCG00000010288	ENSOCUG00000017401	ENSRNOG00000030408	ENSOARG00000007176	189030.125	176096.9688	112897.7266	140042.0313	76245.97656	159134.9844	152473.125	29980.0625	36249.9375	32522.26953	35088.88672	21104.37695	24442.56641	26242.89648	21960.59961	18039.77344	15517.71875	17242.125	12714.8252	41519.34766	42659.48047	40160.81641	51933.76172	67370.07813	53439.16797	56352.05859	35268.99609	38335.73047	33205.00781	34970.17188	37812.10156	38369.52734	36746.85938	41988.09766	86571.85938	94807.27344	97441.01563	99556.73438	72470.21875	68837.69531	79078.57813	92357.48438	21461.3457	25404.34961	28304.82422	101896.1172
ENSG00000134318	ROCK2	ENSFCAG00000024216	ENSBTAG00000005847	ENSCAFG00000003549	ENSECAG00000009872	ENSMMUG00000016678	ENSMODG00000011938	ENSSSCG00000008629	ENSOCUG00000017477	ENSRNOG00000004496	ENSOARG00000015898	454234.3438	466957.4688	443496.8125	427711.1875	410615.8438	464579.75	366095.7188	731515.9375	744868.75	815588.3125	743934.375	799304	690042.8125	759820.375	608095.875	474568.25	543507.875	564710.625	487463.8438	612021.4375	570588.75	623645.5625	717539.0625	488660.8125	486438.4688	481322.75	196490.5313	231038.8125	226928.2656	191564.125	822282.0625	706206.625	571819.3125	475041.5313	606933.0625	581582.5625	626950.3125	525834.5	596174.375	1824127.75	694280.3125	996661.1875	762497.9375	776341.75	777147	811473.25
ENSG00000155561	NUP205	ENSFCAG00000015574	ENSBTAG00000011127	ENSCAFG00000003235	ENSECAG00000009751	ENSMMUG00000016384	ENSMODG00000014060	ENSSSCG00000030386	ENSOCUG00000012757	ENSRNOG00000010852	ENSOARG00000009081	294233.6875	317696.6563	309680.5313	179038.6719	324120.8438	338878.7188	783522.1875	169303.7031	154289.9688	163307.1563	275254.3438	651578.125	488829.4063	540779.1875	410510.9375	249080.4219	162298.5938	164064.5156	184527.3906	127312.7891	147351.2031	175600.0781	178837.9844	316496.25	332725.5313	439897.3438	151344.75	154486.8125	142059.5781	144381.1406	424217.5938	317251.9375	341198.6563	635223.5	238927.0625	339413.5938	329504.5313	729874.125	376145	378318.3125	431214.1563	524493	292349.75	233659.3594	170193.375	239519.4844
ENSG00000011009	LYPLA2	ENSFCAG00000031177	ENSBTAG00000011625	ENSCAFG00000013210	ENSECAG00000010211	ENSMMUG00000019551	ENSMODG00000012872	ENSSSCG00000023191	ENSOCUG00000013660	ENSRNOG00000010067	ENSOARG00000007146	214356.2656	230370.4531	284526.75	251286.9844	234924.4688	266407.6875	233307.0625	398945.5313	352015.8125	394677.125	353062.125	218918.2344	200116.2188	201585.2969	229165.1875	239780.0684	218632.1465	213947.6758	260054.6387	118543.2422	135902.9219	156044.375	178393.0781	258719.8594	239076.7031	247016.2031	55336.16406	53187.58203	48026.86719	66212.1875	239785.2813	226678.4688	238684.6406	285018.6563	313303.8125	287891.4375	260066.7656	313494.1563	208824.5313	304280.5625	197646.7188	239811.6406	327733.25	358231.9688	378897.2188	469280.4063
ENSG00000239306	RBM14	ENSFCAG00000007392	ENSBTAG00000001225	ENSCAFG00000012405	ENSECAG00000022859	ENSMMUG00000020363	ENSMODG00000007884	ENSSSCG00000038008	ENSOCUG00000022838	ENSRNOG00000045568	ENSOARG00000007565	607018.125	582473.5625	565688.5	679771.875	542317	546171.0625	564208.875	504435.3125	879057.1875	517201.7188	566563.25	319342.5313	289905.625	319509.9688	330346.75	196268.6042	188993.7734	206059.8646	190312.151	171727.5938	195089.8125	218417.7344	230118.5625	403644.6641	458616.1719	426091.2891	403688.625	444447.9688	421076.125	471740.0625	414681.4297	426081.7969	396880.3516	327544.8281	197921.0313	194781.9375	182468.5625	181291.0313	435154.7188	319335.5	500609.5313	396925.7188	723639.875	657722.375	745657.125	736845.625
ENSG00000110171	TRIM3	ENSFCAG00000004634	ENSBTAG00000003565	ENSCAFG00000006444	ENSECAG00000019888	ENSMMUG00000007728	ENSMODG00000018582	ENSSSCG00000014625	ENSOCUG00000016940	ENSRNOG00000018356	ENSOARG00000018257	71083.53906	67025.84375	68795.47656	67839.51563	62096.10156	67142.23438	65913.86719	76607.40625	80234.1875	84028.85938	92206.41406	40375.89063	43974.78906	40419.79688	44733.8125	51365.59766	50086.50781	48062.60938	49002.83203	33703.02734	37303.51172	41879.13086	48633.48242	54731.13672	42872.52734	56189.81641	60494.63672	63146.66797	73019.85156	75830.39063	88115.64453	90332.87891	89574.78125	98457.18359	23280.875	22041.93164	21531.33008	31112.42383	499668.4063	482342.0625	527692.6875	175160.6563	70710.02344	77120.07813	77546.28906	80701.25781
