Gene	Mean.UTR5.Length_Mouse	Median.UTR5.Length_Mouse	Human	Mean.UTR5.Length_Human	Median.UTR5.Length_Human
ENSMUSG00000000001	141	141	ENSG00000065135	106	106
ENSMUSG00000000003	93.5	93.5	NA	NA	NA
ENSMUSG00000000028	124.66666666666667	144	ENSG00000093009	87.88888888888889	93
ENSMUSG00000000037	245.16666666666666	172.5	ENSG00000102098	78.2	62
ENSMUSG00000000049	51	51	ENSG00000091583	36	36
ENSMUSG00000000056	72	72	ENSG00000141562	132.16666666666666	91
ENSMUSG00000000058	70.66666666666667	34	ENSG00000105971	29.333333333333332	42
ENSMUSG00000000078	157	157	ENSG00000067082	213.66666666666666	195
ENSMUSG00000000085	73.14285714285714	64	ENSG00000010803	115.53333333333333	71
ENSMUSG00000000088	49	49	ENSG00000178741	66.75	62.5
ENSMUSG00000000093	556	556	ENSG00000121068	334	334
ENSMUSG00000000094	98.5	72.5	ENSG00000121075	57.75	36
ENSMUSG00000000103	122.25	100.5	ENSG00000152475	104.6	90
ENSMUSG00000000120	177	177	ENSG00000064300	150	133.5
ENSMUSG00000000125	119	119	ENSG00000108379	188.14285714285714	151
ENSMUSG00000000126	44	44	ENSG00000143816	45	45
ENSMUSG00000000127	94.75	70.5	ENSG00000151422	112.4	104
ENSMUSG00000000131	553.5	553.5	ENSG00000169180	239.25	160.5
ENSMUSG00000000134	193.3	117	ENSG00000068323	131	131
ENSMUSG00000000142	152	136	ENSG00000168646	155.5	157
ENSMUSG00000000148	45	49	ENSG00000106009	27	27
ENSMUSG00000000149	135	135	ENSG00000146535	242.66666666666666	252
ENSMUSG00000000154	122.66666666666667	128	ENSG00000110628	137.2	87
ENSMUSG00000000157	52	73	ENSG00000160255	106.33333333333333	79
ENSMUSG00000000159	82.66666666666667	51	NA	NA	NA
ENSMUSG00000000167	152.5	152.5	ENSG00000150773	90	46
ENSMUSG00000000168	314	314	ENSG00000150768	137.33333333333334	56
ENSMUSG00000000171	23	23	ENSG00000204370	26.666666666666668	35
ENSMUSG00000000182	128	128	ENSG00000118972	130	130
ENSMUSG00000000184	178.75	200.5	ENSG00000118971	279	279
ENSMUSG00000000194	43	43	ENSG00000148358	253.66666666666666	227
ENSMUSG00000000197	184	184	ENSG00000102452	96.42857142857143	59
ENSMUSG00000000202	49	49	ENSG00000204347	49	49
ENSMUSG00000000204	235.5	141.5	NA	NA	NA
ENSMUSG00000000214	279	279	ENSG00000180176	24	24
ENSMUSG00000000215	87.18181818181819	65	ENSG00000254647	93	61
ENSMUSG00000000216	48.5	48.5	ENSG00000166828	56.5	56.5
ENSMUSG00000000223	142	123.5	ENSG00000102385	144.375	110
ENSMUSG00000000244	156.28571428571428	220	ENSG00000064201	113	112.5
ENSMUSG00000000247	514.3333333333334	525	ENSG00000106689	581	581
ENSMUSG00000000248	61.2	36	NA	NA	NA
ENSMUSG00000000253	213	213	ENSG00000137198	107	107
ENSMUSG00000000263	168.5	76.5	ENSG00000145888	294.5	294.5
ENSMUSG00000000266	152.5	131.5	ENSG00000080561	287	287
ENSMUSG00000000275	113	113	ENSG00000121060	52.5	52.5
ENSMUSG00000000276	487.3333333333333	453	ENSG00000153933	94	110
ENSMUSG00000000278	96	96	ENSG00000121064	29	29
ENSMUSG00000000282	409	409	ENSG00000070444	370	370
ENSMUSG00000000290	105.5	105.5	NA	NA	NA
ENSMUSG00000000295	32	32	ENSG00000111906	62	35
ENSMUSG00000000296	126.6	124	ENSG00000111907	191.1818181818182	179
ENSMUSG00000000301	94.75	90	ENSG00000133027	73.4	53
ENSMUSG00000000303	144	144	ENSG00000039068	94	94
ENSMUSG00000000305	191	191	ENSG00000179242	273.75	241
ENSMUSG00000000308	126	84	ENSG00000237289	190.25	184.5
ENSMUSG00000000317	21	21	ENSG00000161940	31	31
ENSMUSG00000000318	440	172	NA	NA	NA
ENSMUSG00000000320	75	75	ENSG00000108839	69	69
ENSMUSG00000000326	258	239	ENSG00000093010	182.25	139
ENSMUSG00000000339	219	219	ENSG00000137996	124.66666666666667	127
ENSMUSG00000000340	71	71	ENSG00000137992	95	93
ENSMUSG00000000346	363	363	ENSG00000183283	79.25	68
ENSMUSG00000000355	113	113	ENSG00000232119	334.5	334.5
ENSMUSG00000000359	146	146	ENSG00000088320	149	149
ENSMUSG00000000365	62	62	ENSG00000132972	36	24
ENSMUSG00000000374	139	139	ENSG00000280433	NA	NA
ENSMUSG00000000378	110	113	ENSG00000136280	244.8	133
ENSMUSG00000000381	15	15	NA	NA	NA
ENSMUSG00000000384	77.5	72	ENSG00000136270	105.83333333333333	59.5
ENSMUSG00000000385	115	115	ENSG00000184012	231.16666666666666	137.5
ENSMUSG00000000386	101.4	72	NA	NA	NA
ENSMUSG00000000392	224	224	ENSG00000078098	123.5	123.5
ENSMUSG00000000394	48.5	48.5	ENSG00000115263	115.33333333333333	90
ENSMUSG00000000399	35.333333333333336	31	ENSG00000139180	59.5	59.5
ENSMUSG00000000402	197	197	ENSG00000198759	250.5	250.5
ENSMUSG00000000409	98.75	92	ENSG00000182866	86.2	107
